width;length;MT
90;302;283
90;603;-1
90;603;417
23;1207;1249
90;603;232
68;603;200
34;1207;-1
34;1207;1267
23;302;317
90;905;283
57;603;332
90;603;482
68;302;66
90;302;200
68;1207;500
57;905;368
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;119
57;603;335
23;603;-1
23;603;619
90;905;531
45;302;184
68;905;437
57;603;183
23;1207;-1
23;1207;1867
68;905;84
68;302;49
68;302;82
68;905;82
68;302;50
57;1207;499
68;905;-1
68;905;134
79;1207;383
79;603;199
68;1207;283
23;1207;433
79;302;202
57;905;269
45;302;136
23;603;183
34;603;117
102;1207;683
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;351
102;603;99
90;603;168
23;302;167
90;302;51
79;603;316
79;302;17
45;603;-1
45;603;-1
45;603;101
102;302;32
79;302;317
34;1207;432
68;905;-1
68;905;-1
68;905;-1
68;905;-1
68;905;99
34;603;434
45;603;67
45;905;217
57;603;186
90;1207;350
79;603;250
79;302;300
102;302;83
23;1207;169
79;302;499
68;302;50
90;1207;283
79;1207;100
23;1207;100
34;905;-1
34;905;-1
34;905;433
90;905;751
34;603;-1
34;603;115
57;1207;384
45;603;383
79;603;350
34;302;67
45;1207;466
45;603;215
23;302;50
90;302;383
102;603;84
90;905;-1
90;905;134
102;1207;166
102;1207;301
102;905;216
23;302;-1
23;302;83
45;302;66
57;302;334
102;603;78
45;603;299
79;905;216
102;905;333
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;417
23;603;66
90;603;101
34;603;67
34;302;50
90;1207;117
34;302;101
90;302;34
34;302;18
45;1207;101
34;1207;-1
34;1207;417
79;905;82
90;1207;500
34;302;83
102;1207;-1
102;1207;334
57;905;233
45;1207;-1
45;1207;-1
45;1207;451
57;302;-1
57;302;-1
57;302;-1
57;302;733
102;905;650
90;905;85
45;905;-1
45;905;167
45;302;66
45;905;351
102;1207;-1
102;1207;417
23;302;-1
23;302;66
102;302;66
57;905;100
79;905;82
23;603;100
57;1207;100
79;905;132
45;1207;84
79;905;82
57;603;84
68;603;67
45;302;66
79;1207;99
45;1207;84
34;603;68
57;905;51
23;905;50
45;905;100
90;1207;134
23;603;67
102;302;18
102;603;68
68;603;68
79;1207;100
23;905;51
23;905;-1
23;905;66
79;603;66
57;1207;82
57;1207;-1
57;1207;135
68;603;100
23;905;133
68;603;49
102;603;67
102;302;17
45;905;66
79;1207;85
57;302;50
68;1207;332
57;302;70
102;905;65
57;302;33
102;905;66
68;1207;132
34;905;84
34;905;99
68;1207;100
34;905;135
34;905;102
