width;length;MT
57;603;4801
34;603;-1
34;603;-1
34;603;-1
34;603;-1
34;603;4409
90;603;1979
23;1207;15600
79;905;1792
102;603;-1
102;603;2464
45;302;1623
79;1207;5286
57;603;1523
79;1207;3858
23;302;-1
23;302;1708
34;603;2799
68;1207;1661
57;1207;2122
102;905;555
45;1207;2376
23;603;-1
23;603;-1
23;603;-1
23;603;2604
79;302;494
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;1021
45;1207;3959
102;603;-1
102;603;464
102;905;800
79;905;-1
79;905;1468
45;905;1912
34;905;1049
34;302;802
57;1207;1425
90;603;804
34;603;-1
34;603;-1
34;603;-1
34;603;1513
68;905;860
79;1207;-1
79;1207;4889
90;1207;-1
90;1207;-1
90;1207;2908
45;1207;1483
90;1207;1828
23;1207;-1
23;1207;39042
102;905;770
68;302;-1
68;302;246
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;11273
90;1207;1017
45;302;1418
90;603;707
90;302;494
23;905;5102
34;1207;-1
34;1207;13512
34;302;-1
34;302;-1
34;302;-1
34;302;863
34;905;-1
34;905;7159
23;905;-1
23;905;7597
79;302;439
102;603;622
57;302;613
102;603;595
102;1207;2261
23;905;-1
23;905;-1
23;905;4608
79;302;556
102;1207;1173
23;905;-1
23;905;5006
45;603;-1
45;603;-1
45;603;-1
45;603;1297
102;1207;2130
68;302;369
23;1207;-1
23;1207;22436
57;603;-1
57;603;710
34;603;1889
90;302;275
57;1207;-1
57;1207;4824
90;905;572
34;302;-1
34;302;649
79;905;-1
79;905;1606
57;603;-1
57;603;1915
79;905;1078
57;302;724
79;302;375
68;302;607
34;302;-1
34;302;1274
34;1207;9961
23;302;1704
45;603;2309
90;905;799
57;302;431
23;302;1326
79;905;1513
102;302;217
57;603;-1
57;603;1846
23;302;1144
45;905;3863
34;905;2353
57;1207;3613
23;603;2649
79;302;433
102;1207;1144
90;1207;1415
34;302;277
34;1207;4955
102;905;646
57;1207;1391
68;1207;801
90;302;154
68;905;741
45;603;1140
23;603;-1
23;603;3390
90;603;400
23;905;1666
34;603;740
102;302;153
68;603;526
90;603;-1
90;603;648
79;603;614
23;603;-1
23;603;-1
23;603;1955
102;603;1047
68;1207;-1
68;1207;1254
79;603;554
90;302;153
23;1207;4817
90;905;468
68;302;278
79;1207;862
45;905;928
45;603;-1
45;603;832
45;603;1047
45;1207;1362
34;905;1821
34;905;992
68;603;489
23;603;868
90;905;587
90;905;462
90;1207;893
68;905;-1
68;905;805
79;1207;1020
68;603;432
45;1207;1325
45;905;862
34;1207;1023
34;1207;714
57;905;498
45;302;213
79;603;402
68;302;215
57;905;1052
102;905;369
90;302;279
57;905;1145
45;302;403
57;905;862
45;905;922
79;603;433
57;302;279
68;905;684
45;302;242
68;905;685
57;905;688
79;603;351
68;603;431
57;302;125
68;1207;1429
68;1207;677
102;1207;650
102;302;217
68;603;561
102;302;214
102;302;250
