width;length;MT
102;1207;-1
102;1207;2761
45;603;-1
45;603;2616
23;1207;2976
79;1207;2520
68;302;224
45;905;-1
45;905;2082
57;905;1765
45;603;1474
34;905;-1
34;905;4440
23;1207;-1
23;1207;9994
23;302;1575
34;905;4069
90;905;-1
90;905;1400
68;603;1067
34;1207;1696
45;603;838
90;1207;1105
23;302;739
23;302;938
45;302;1460
68;905;1188
34;905;1134
90;603;926
79;905;1480
90;603;995
102;905;809
34;603;-1
34;603;1061
57;1207;1423
34;1207;961
79;302;545
45;603;958
34;1207;-1
34;1207;1161
90;1207;1348
57;905;972
34;1207;824
34;1207;820
102;603;456
23;905;618
23;603;-1
23;603;865
79;302;496
102;603;571
45;905;801
79;1207;899
57;905;-1
57;905;945
23;302;516
68;302;333
45;603;365
90;1207;1416
102;603;432
68;302;414
68;1207;825
34;302;278
45;302;282
102;603;1001
57;905;1175
102;603;178
90;905;618
68;905;622
90;905;719
68;905;611
34;603;352
34;302;508
90;905;585
34;302;243
57;603;416
79;302;224
34;603;362
90;302;151
34;603;-1
34;603;462
79;905;553
45;905;-1
45;905;1208
45;1207;1177
68;603;384
79;302;241
34;905;720
23;603;412
79;603;397
23;302;-1
23;302;483
79;905;585
34;302;-1
34;302;272
57;302;280
79;905;1458
57;302;245
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;1357
34;603;-1
34;603;713
68;302;379
79;905;683
102;1207;871
79;1207;1027
23;905;-1
23;905;1160
34;302;628
23;1207;-1
23;1207;3151
23;905;-1
23;905;-1
23;905;2720
90;302;463
68;302;315
57;302;375
90;905;587
57;905;706
57;603;459
90;603;378
68;905;455
34;905;874
102;1207;562
23;603;-1
23;603;-1
23;603;1071
90;302;236
45;1207;-1
45;1207;1437
57;302;421
90;1207;740
68;1207;838
45;905;857
45;1207;1182
102;905;647
45;1207;1347
102;302;514
79;302;298
23;905;1022
68;603;461
45;905;834
57;603;482
102;1207;686
68;905;491
57;1207;665
57;603;398
68;603;519
23;603;-1
23;603;-1
23;603;-1
23;603;2769
102;905;1802
79;603;460
79;603;764
102;302;345
90;603;512
57;1207;948
57;1207;1830
68;1207;723
90;1207;1097
23;1207;1474
102;1207;779
23;1207;1378
57;1207;745
57;603;84
79;603;502
102;302;281
57;302;406
45;302;395
23;905;1218
90;302;159
102;302;502
45;302;195
102;302;329
90;603;452
68;603;467
79;603;432
102;905;559
102;905;459
68;1207;906
45;302;379
68;1207;720
79;1207;865
45;1207;1154
79;1207;821
90;302;581
