width;length;MT
23;603;-1
23;603;11193
57;1207;-1
57;1207;10558
102;1207;6937
23;1207;13203
102;603;1572
102;905;3349
79;302;565
79;603;914
90;1207;3493
23;302;-1
23;302;6068
79;603;-1
79;603;3795
34;302;3935
68;1207;7985
79;603;2610
90;1207;7497
34;1207;-1
34;1207;20199
68;302;-1
68;302;2289
68;302;1341
102;302;2055
79;905;6251
90;603;3271
23;1207;15676
79;603;4128
34;302;2892
102;1207;9018
45;905;6907
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;36283
79;603;4424
57;905;4637
23;302;-1
23;302;7820
45;1207;7094
79;905;-1
79;905;4936
34;905;7641
34;1207;13851
68;1207;5963
57;905;3496
90;1207;4682
68;603;2039
57;603;2047
68;603;1855
79;302;266
102;302;232
23;603;5364
34;603;5913
68;302;950
34;302;1250
34;905;7471
34;603;4449
34;302;1066
102;603;1087
45;905;4369
23;905;8460
23;302;-1
23;302;2156
45;603;2248
68;302;725
57;302;959
34;1207;8930
68;905;4048
45;302;903
34;1207;-1
34;1207;10444
34;905;5154
90;1207;3633
57;302;573
90;603;1049
23;905;6606
57;1207;5082
90;905;2268
79;302;450
102;302;456
45;905;3523
102;302;334
102;1207;2089
23;905;5688
34;1207;6365
45;1207;5664
57;1207;5027
23;302;-1
23;302;-1
23;302;2386
23;603;-1
23;603;-1
23;603;8363
23;603;-1
23;603;-1
23;603;10611
90;302;659
23;603;-1
23;603;-1
23;603;7005
34;905;5015
102;302;625
45;302;927
79;1207;3224
57;1207;3387
90;1207;2999
45;603;-1
45;603;3488
34;905;6246
102;905;2590
79;905;2902
79;1207;4393
23;302;1434
79;905;3155
45;603;2273
90;603;1298
90;603;2247
102;603;2271
90;302;785
68;302;1050
79;1207;4049
68;905;2196
79;1207;4133
79;905;2352
57;1207;5195
68;905;3103
34;302;1221
68;1207;3310
90;603;1490
45;603;1971
68;905;2819
34;603;1588
45;905;3542
102;905;1841
23;905;-1
23;905;-1
23;905;6783
68;905;3692
45;1207;5882
57;302;970
102;905;2606
68;1207;3681
45;302;457
57;603;2341
90;302;1187
102;1207;4498
34;603;3228
79;1207;3039
68;1207;3651
102;603;1047
102;905;2579
45;1207;4760
23;1207;11016
23;1207;10959
68;603;-1
68;603;1494
57;905;3257
45;905;3364
79;302;710
90;905;1944
68;603;795
102;603;963
45;302;582
57;905;3157
90;302;492
90;302;755
102;1207;2828
45;603;-1
45;603;2166
68;603;1243
57;603;1992
45;302;824
90;905;2429
57;905;2520
34;603;2797
23;905;-1
23;905;5116
57;603;-1
57;603;2070
90;905;1733
90;905;2184
45;1207;5017
79;302;263
57;302;287
57;302;461
57;603;986
