width;length;MT
90;905;868
34;905;-1
34;905;3690
90;302;186
102;302;186
68;302;123
45;1207;3225
90;905;433
23;1207;-1
23;1207;16060
45;302;621
23;603;-1
23;603;6664
102;1207;1085
23;905;-1
23;905;20893
90;603;589
23;1207;-1
23;1207;26444
79;603;-1
79;603;466
90;1207;2138
34;905;3411
23;302;1612
79;302;280
34;603;-1
34;603;3844
79;905;-1
79;905;1735
57;1207;6418
68;603;621
23;1207;-1
23;1207;13268
57;302;186
68;905;652
102;302;122
57;603;310
34;905;464
102;905;-1
102;905;681
57;603;278
57;302;495
23;1207;18693
23;603;-1
23;603;7224
57;905;961
79;302;125
102;905;650
45;603;526
45;905;683
102;603;434
23;302;186
102;302;95
45;302;187
68;603;496
68;1207;899
34;1207;2325
68;1207;838
23;603;-1
23;603;-1
23;603;5023
102;603;308
45;1207;805
90;603;279
68;302;123
57;905;495
34;603;311
57;603;-1
57;603;434
57;302;93
57;302;62
79;302;-1
79;302;187
23;603;-1
23;603;4774
34;1207;3503
57;302;93
23;603;-1
23;603;-1
23;603;7161
23;1207;9579
45;1207;960
23;302;466
23;302;-1
23;302;-1
23;302;3628
79;302;279
68;302;278
57;603;-1
57;603;650
68;603;481
45;603;-1
45;603;495
90;603;247
79;603;311
90;1207;773
102;603;334
90;603;370
79;1207;673
79;302;-1
79;302;185
90;603;338
45;603;309
68;905;372
34;302;216
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;5363
45;1207;2295
23;905;6728
34;302;186
102;1207;778
102;603;185
34;302;619
34;1207;-1
34;1207;-1
34;1207;7037
57;905;-1
57;905;2293
45;603;713
79;603;495
68;302;187
79;603;434
90;905;837
102;1207;1086
45;302;187
23;905;3156
102;302;61
90;905;403
45;905;371
68;603;155
102;302;94
79;1207;340
68;905;-1
68;905;836
23;302;186
34;603;-1
34;603;3194
45;905;1581
34;905;2295
34;603;589
45;905;-1
45;905;2355
45;905;1208
102;1207;4402
23;905;4310
57;1207;1827
23;905;7162
79;905;588
45;603;743
90;905;620
34;905;-1
34;905;-1
34;905;2387
68;302;93
102;905;402
79;1207;-1
79;1207;899
68;603;-1
68;603;-1
68;603;-1
68;603;1209
57;1207;4155
90;302;-1
90;302;156
102;905;683
102;905;683
45;302;652
34;1207;7936
68;1207;-1
68;1207;3657
68;1207;1209
57;1207;1394
45;302;186
68;905;-1
68;905;1843
90;1207;990
57;603;247
34;302;63
79;905;-1
79;905;-1
79;905;-1
79;905;186
79;603;372
102;603;-1
102;603;1798
34;302;682
90;302;464
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;1706
79;1207;806
68;905;-1
68;905;1056
68;1207;1053
90;1207;1023
102;1207;683
90;1207;837
34;1207;-1
34;1207;5517
34;603;993
90;302;187
79;1207;1395
90;302;155
57;905;-1
57;905;2448
79;905;650
57;905;1673
79;905;681
