width;length;MT
79;603;2744
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;22794
79;603;-1
79;603;5314
68;905;-1
68;905;8758
68;1207;7808
102;1207;5392
102;905;2771
102;905;2707
90;1207;3446
57;1207;-1
57;1207;8459
34;302;3238
45;1207;15030
90;1207;4152
57;905;2752
68;1207;6245
23;905;12611
34;302;-1
34;302;-1
34;302;3611
90;603;1581
34;603;6674
45;1207;-1
45;1207;-1
45;1207;16688
90;603;2572
68;905;-1
68;905;9535
68;302;1100
102;302;790
34;302;-1
34;302;-1
34;302;4184
79;302;434
34;302;4075
90;603;2059
90;302;821
79;905;3425
102;905;2991
79;1207;5128
68;1207;6415
90;302;914
23;302;-1
23;302;3752
34;905;-1
34;905;13356
90;905;1673
90;1207;7423
45;905;6337
23;905;19643
34;603;-1
34;603;6058
102;302;2170
90;302;606
79;302;1052
23;302;3842
68;603;2028
79;1207;7236
34;1207;-1
34;1207;-1
34;1207;18776
34;302;1966
23;1207;12986
34;1207;-1
34;1207;11331
102;302;338
102;905;1209
68;1207;5595
34;1207;5451
68;302;743
34;905;7033
57;603;2138
68;603;2525
34;905;-1
34;905;-1
34;905;-1
34;905;11216
90;603;713
34;905;-1
34;905;7961
79;603;805
34;603;-1
34;603;5423
68;905;2479
79;1207;4050
79;302;557
68;603;1109
79;1207;2475
90;1207;1671
34;905;5516
68;603;791
45;905;2957
90;302;358
68;905;1533
102;905;837
68;905;1378
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;28308
57;1207;4045
57;1207;-1
57;1207;3967
102;603;494
45;302;1209
79;603;2492
23;302;-1
23;302;3283
57;302;757
90;1207;6329
90;905;2734
45;1207;-1
45;1207;11088
102;1207;1470
79;905;1629
102;603;465
90;302;327
79;302;699
79;302;774
79;1207;5044
90;603;2615
79;905;2276
23;302;-1
23;302;3717
23;603;7080
34;603;5408
45;302;-1
45;302;1132
79;603;1175
34;603;6551
57;905;4199
57;302;682
68;1207;6351
45;302;700
23;302;4962
45;905;8532
68;603;5884
45;302;2471
57;603;5015
45;1207;7438
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;6474
45;603;5408
45;905;7947
102;603;-1
102;603;1519
45;1207;-1
45;1207;9725
57;603;2137
102;603;1116
90;905;3437
23;905;9875
23;1207;22906
57;1207;6490
23;905;14199
57;302;1827
34;1207;15272
102;1207;3006
57;603;2292
45;603;2308
68;302;667
102;302;2166
90;905;4881
57;603;8919
57;302;2400
102;603;3095
57;905;8379
90;905;5113
57;905;8938
23;1207;55067
79;905;6812
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;10176
102;1207;4415
102;302;961
45;302;1424
102;1207;-1
102;1207;2959
45;603;1985
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;8366
79;905;3128
57;302;1274
45;603;3095
68;302;1160
23;905;15244
23;603;12768
57;905;7595
45;603;5749
68;302;1037
34;1207;17307
57;1207;7531
23;603;5067
