width;length;MT
45;905;1952
45;302;360
68;603;1008
68;1207;1530
90;603;708
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;1040
90;302;238
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;1674
45;1207;1597
68;905;1563
79;1207;1425
102;905;1025
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;6313
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;12524
34;603;-1
34;603;4247
34;1207;-1
34;1207;-1
34;1207;1151
45;905;-1
45;905;-1
45;905;462
90;603;-1
90;603;228
79;603;-1
79;603;-1
79;603;185
79;302;-1
79;302;60
90;905;375
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;199
68;603;111
34;905;-1
34;905;356
102;603;142
68;302;107
90;1207;-1
90;1207;245
90;302;66
90;905;-1
90;905;361
57;905;-1
57;905;306
57;603;-1
57;603;526
68;905;1560
102;1207;-1
102;1207;2356
90;302;495
57;1207;1802
79;302;223
34;905;-1
34;905;2837
90;603;558
57;905;2343
68;603;775
79;905;1705
45;302;1145
68;302;959
90;1207;1629
90;1207;1690
79;302;325
79;905;1155
57;603;1681
68;302;926
102;905;1920
68;905;2260
45;1207;4902
102;302;729
102;1207;3190
90;905;1993
102;603;1527
45;302;1440
102;302;478
79;302;615
57;905;3160
102;905;1596
68;603;1455
102;905;1891
102;1207;1923
23;302;2618
90;1207;2184
45;1207;4408
68;603;932
45;302;1921
68;905;2968
45;603;3593
79;603;941
102;1207;1257
79;302;938
45;905;5005
90;603;993
45;302;1844
34;603;4015
102;302;932
45;905;-1
45;905;5469
34;1207;8921
90;905;1922
79;1207;-1
79;1207;4446
90;302;559
90;1207;3697
45;1207;9033
68;1207;2855
23;905;-1
23;905;-1
23;905;10496
45;603;-1
45;603;2729
79;905;2466
45;905;-1
45;905;5113
79;1207;2944
102;603;1147
45;1207;6306
79;905;2238
34;603;2494
57;603;1645
57;603;1459
34;905;6858
90;302;609
79;1207;4229
23;1207;7995
57;302;510
34;603;3502
34;905;3269
34;302;1037
102;302;1053
23;302;2273
34;1207;6429
68;302;799
57;603;1674
57;1207;3282
102;905;1642
102;302;635
23;905;5727
79;1207;2089
45;603;2359
57;302;820
34;603;3251
57;1207;2853
23;905;5065
23;302;1299
68;302;959
34;1207;6414
23;603;3209
79;905;2141
90;905;1612
57;302;633
68;1207;3440
23;905;-1
23;905;-1
23;905;9978
34;1207;-1
34;1207;-1
34;1207;7390
23;905;-1
23;905;8087
23;1207;-1
23;1207;-1
23;1207;11664
23;302;-1
23;302;2849
57;1207;2533
45;603;3465
79;603;2386
23;302;3611
45;603;-1
45;603;2789
68;1207;4075
102;1207;1797
90;603;686
57;905;3718
23;1207;-1
23;1207;12192
102;603;527
79;603;881
57;905;-1
57;905;3427
57;302;511
57;302;359
102;603;1318
79;603;1609
34;302;948
68;1207;2532
34;302;977
68;905;-1
68;905;2858
34;302;1445
23;603;4617
23;603;4434
34;302;1192
23;603;5093
