width;length;MT
45;905;-1
45;905;-1
45;905;9652
57;1207;-1
57;1207;-1
57;1207;2125
23;603;-1
23;603;-1
23;603;3371
45;302;1095
45;905;2877
90;905;2186
34;603;938
45;905;-1
45;905;1781
34;302;-1
34;302;1061
45;302;692
102;603;843
79;1207;1744
57;905;1069
45;302;376
57;603;721
90;302;-1
90;302;-1
90;302;374
45;1207;1784
90;905;-1
90;905;1185
68;302;563
68;1207;2001
57;905;1811
57;905;-1
57;905;2315
45;603;-1
45;603;1250
90;1207;-1
90;1207;-1
90;1207;1595
90;905;1031
90;302;373
57;1207;2782
23;302;-1
23;302;1783
79;603;719
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;4967
68;905;1469
68;302;626
79;603;880
68;1207;-1
68;1207;5421
90;603;-1
90;603;907
79;603;874
34;1207;4598
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;8131
102;1207;2028
102;905;970
90;905;1054
79;302;375
90;603;564
79;603;532
102;302;250
34;1207;4468
34;302;-1
34;302;1593
45;603;1342
68;1207;3280
57;1207;-1
57;1207;-1
57;1207;6875
45;603;-1
45;603;1811
57;905;-1
57;905;2934
79;1207;-1
79;1207;-1
79;1207;2909
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;9374
68;905;1801
45;603;1221
34;905;2439
102;603;718
79;603;717
34;603;1438
23;302;1904
45;905;-1
45;905;2624
23;603;2591
45;1207;-1
45;1207;3406
23;1207;-1
23;1207;9814
79;302;-1
79;302;343
79;905;1064
45;302;595
68;603;499
45;603;1219
68;1207;3503
68;1207;2467
34;302;815
57;905;1907
102;905;1689
34;905;-1
34;905;3155
68;302;625
45;905;1939
68;905;1657
102;603;655
23;1207;10846
45;1207;2561
90;302;314
102;603;562
79;905;901
102;1207;1380
79;1207;1968
79;1207;2093
90;302;282
23;302;1901
90;302;281
45;1207;3033
79;1207;2029
34;905;2719
90;603;819
57;603;719
90;905;875
90;1207;1686
34;603;1093
102;302;272
45;302;436
102;905;873
23;905;-1
23;905;-1
23;905;4220
90;1207;-1
90;1207;2564
23;302;-1
23;302;2376
68;603;750
34;302;940
102;603;779
90;603;686
90;1207;1715
23;302;2281
79;302;155
102;302;95
102;302;156
57;603;777
102;1207;2186
79;302;282
102;1207;1938
68;905;1025
102;905;595
45;1207;2530
34;905;1594
102;1207;1532
23;603;1918
68;302;250
34;603;1188
34;603;1061
79;905;811
23;1207;2439
90;1207;1970
102;302;219
57;603;686
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;4626
68;302;344
34;1207;4938
23;1207;-1
23;1207;7281
79;905;875
90;603;593
57;302;441
57;603;-1
57;603;-1
57;603;1344
102;905;1125
34;302;656
57;1207;2781
68;905;1093
57;1207;2209
79;302;192
34;905;1655
68;603;-1
68;603;750
79;905;1125
34;1207;-1
34;1207;-1
34;1207;4032
57;302;439
34;1207;3780
57;302;-1
57;302;-1
57;302;-1
57;302;689
68;603;-1
68;603;1001
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;7280
57;302;-1
57;302;534
57;302;406
23;905;-1
23;905;-1
23;905;-1
23;905;4875
23;905;16939
68;603;-1
68;603;1278
