width;length;MT
57;905;3221
45;603;-1
45;603;-1
45;603;2969
45;603;3156
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;12970
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;13659
45;302;2032
68;603;3563
90;905;1407
68;302;1031
102;905;1065
57;1207;1939
57;1207;1062
34;603;749
102;302;93
68;1207;-1
68;1207;2999
45;1207;1813
90;603;405
79;603;249
57;905;658
57;603;438
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;7874
79;1207;687
45;905;-1
45;905;-1
45;905;-1
45;905;2471
34;302;938
57;1207;-1
57;1207;4781
57;1207;1530
79;603;501
45;302;252
102;1207;782
102;905;344
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;25470
57;905;1377
79;302;157
102;905;469
90;905;468
45;1207;1125
68;905;530
102;1207;531
23;603;313
102;905;311
79;1207;376
68;603;219
45;302;94
68;905;313
90;1207;282
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;29657
23;603;10782
90;905;-1
90;905;937
90;905;653
90;905;467
34;1207;-1
34;1207;9623
79;603;374
68;603;374
102;905;407
23;603;-1
23;603;-1
23;603;4595
68;905;-1
68;905;-1
68;905;1096
102;1207;752
23;1207;1905
45;1207;-1
45;1207;-1
45;1207;5968
23;603;4656
45;1207;3464
45;905;-1
45;905;4188
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;14908
79;603;154
34;1207;4749
90;603;188
45;603;280
79;1207;436
23;1207;6220
79;603;188
102;1207;469
68;905;345
90;1207;593
79;905;375
102;603;154
102;302;59
34;603;1344
68;302;188
34;905;-1
34;905;1656
79;302;189
34;603;751
90;603;187
57;905;690
45;1207;-1
45;1207;-1
45;1207;4719
57;302;156
23;603;-1
23;603;5405
79;905;1030
102;1207;564
23;302;-1
23;302;2032
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;13747
68;1207;8436
79;302;-1
79;302;313
68;905;2905
79;302;157
79;1207;2687
45;603;-1
45;603;-1
45;603;3157
34;603;5219
34;302;2969
45;905;5998
34;1207;-1
34;1207;8812
45;905;5657
34;302;-1
34;302;1250
90;302;-1
90;302;91
68;302;250
34;302;-1
34;302;2407
68;1207;3720
79;1207;2281
45;905;3656
57;302;408
45;302;283
68;302;220
57;1207;2155
45;302;375
90;302;187
68;302;220
68;603;534
90;1207;1095
57;302;248
57;905;1185
68;1207;905
90;603;470
90;1207;720
90;603;312
34;905;626
68;1207;905
57;302;311
34;302;-1
34;302;1091
102;302;188
90;1207;1126
90;302;190
57;603;593
57;302;251
79;905;655
45;603;969
79;302;161
79;905;907
68;603;376
34;603;531
57;603;-1
57;603;717
23;302;719
102;603;470
23;302;562
23;905;-1
23;905;18157
79;905;565
90;302;158
90;302;63
102;302;192
34;905;845
23;905;907
57;603;345
57;603;310
102;302;125
23;905;625
102;603;250
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;9316
23;905;-1
23;905;21220
102;603;188
23;302;-1
23;302;-1
23;302;5061
23;302;4436
102;603;406
