width;length;MT
79;302;373
79;1207;3952
90;905;-1
90;905;646
90;1207;-1
90;1207;-1
90;1207;4294
34;302;-1
34;302;741
79;905;1924
45;905;1897
57;905;-1
57;905;1780
90;603;465
102;302;335
102;603;562
34;603;1974
102;1207;708
45;302;662
79;603;521
57;302;381
57;603;-1
57;603;506
34;302;894
68;603;685
90;302;248
45;603;-1
45;603;1974
57;905;1889
23;603;-1
23;603;-1
23;603;-1
23;603;4661
90;302;275
102;905;621
34;302;339
102;603;307
79;1207;1229
79;603;245
34;603;-1
34;603;657
57;302;125
90;905;470
79;603;345
45;1207;694
102;603;124
34;905;461
90;1207;649
34;302;215
102;302;60
102;302;154
57;905;586
23;603;688
45;603;215
57;302;186
45;1207;824
45;603;336
57;302;185
23;905;834
79;302;150
79;603;286
90;1207;-1
90;1207;774
79;302;201
102;1207;716
68;603;405
23;1207;891
102;603;219
23;302;398
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;3876
23;302;617
68;905;836
45;905;620
90;302;163
90;905;551
68;905;423
68;302;125
90;905;805
23;302;245
79;1207;801
45;1207;758
68;302;97
23;603;495
57;603;379
57;302;165
45;905;590
34;905;584
102;905;557
57;603;332
34;1207;1293
102;905;280
23;905;745
68;302;62
90;603;215
68;302;123
23;603;-1
23;603;-1
23;603;2299
34;1207;732
23;603;342
79;603;189
90;302;221
45;905;678
102;905;470
90;302;93
34;603;-1
34;603;925
79;905;554
90;603;402
34;1207;1055
23;905;-1
23;905;1264
102;905;276
68;603;437
23;905;762
23;1207;1140
34;905;712
68;905;530
34;302;185
45;905;753
34;603;-1
34;603;688
57;603;400
34;905;744
45;603;318
57;603;414
68;302;277
79;302;283
79;302;191
34;603;616
90;603;407
34;1207;-1
34;1207;-1
34;1207;766
90;1207;774
68;905;496
79;905;494
23;302;506
102;603;436
102;1207;814
34;1207;832
102;302;61
90;905;627
79;1207;653
68;603;396
90;1207;643
23;302;-1
23;302;-1
23;302;348
68;603;402
90;603;430
45;603;346
45;302;337
23;1207;646
79;1207;680
45;302;170
45;1207;842
68;905;466
45;302;186
45;1207;-1
45;1207;1195
57;905;719
79;905;398
57;905;514
45;302;403
68;1207;-1
68;1207;-1
68;1207;-1
68;1207;2792
23;1207;-1
23;1207;-1
23;1207;926
68;1207;661
57;1207;-1
57;1207;635
102;1207;615
34;905;658
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;3166
68;1207;586
102;302;93
68;1207;835
79;905;533
57;1207;781
102;1207;684
68;1207;600
57;1207;744
57;1207;467
57;1207;555
