width;length;MT
34;302;383
102;1207;-1
102;1207;420
57;302;932
90;905;580
79;1207;708
23;603;210
34;603;260
102;1207;401
23;603;350
68;302;120
45;302;172
79;302;95
34;905;-1
34;905;593
57;1207;1007
34;302;117
68;603;171
34;1207;876
68;1207;-1
68;1207;-1
68;1207;-1
68;1207;564
68;302;96
34;905;-1
34;905;1931
102;905;275
34;603;386
23;1207;-1
23;1207;-1
23;1207;2948
23;1207;-1
23;1207;2467
45;1207;858
57;905;463
90;302;249
68;1207;429
68;905;370
90;905;220
68;302;73
90;302;61
57;905;319
68;905;336
23;905;-1
23;905;728
45;1207;-1
45;1207;1582
45;302;330
102;603;171
45;1207;548
102;1207;267
79;302;101
90;603;211
34;302;110
23;603;-1
23;603;541
79;302;149
45;603;499
79;1207;-1
79;1207;-1
79;1207;1472
45;603;341
79;905;272
57;302;132
57;1207;337
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;83
34;603;-1
34;603;-1
34;603;278
68;302;124
79;905;198
34;905;-1
34;905;699
79;302;115
79;905;452
23;1207;1284
90;603;168
102;1207;505
68;603;326
57;302;89
90;603;398
57;905;475
23;302;118
45;905;388
57;302;77
45;1207;-1
45;1207;1776
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;915
68;302;112
90;905;307
102;302;247
34;302;146
34;302;89
102;905;286
34;905;272
34;603;310
57;603;338
90;302;175
68;1207;-1
68;1207;565
45;905;-1
45;905;672
68;603;195
57;1207;760
45;302;24
90;1207;402
102;905;148
68;603;-1
68;603;216
57;1207;277
57;905;286
102;1207;426
34;603;-1
34;603;290
102;603;168
57;905;250
90;905;253
68;603;215
79;603;206
23;302;189
57;302;97
90;1207;245
23;905;462
79;905;311
57;603;137
68;1207;748
57;1207;774
68;1207;453
57;603;159
102;603;102
34;905;274
90;905;179
79;1207;695
45;302;110
45;302;71
79;603;125
90;603;86
102;603;156
23;603;171
23;302;71
23;1207;322
68;905;-1
68;905;168
90;1207;425
23;1207;888
23;302;100
102;905;167
45;603;150
102;603;151
79;302;43
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;1049
90;302;147
45;1207;329
23;905;432
23;905;-1
23;905;383
90;603;86
90;1207;358
90;302;47
79;905;141
68;905;146
90;1207;777
102;905;141
45;905;215
79;1207;149
57;603;118
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;988
23;302;-1
23;302;234
79;1207;496
68;905;395
57;603;92
102;302;30
45;905;202
102;302;150
45;603;168
45;603;143
79;603;176
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;1555
79;603;102
34;1207;647
79;603;133
34;1207;282
102;302;34
102;302;50
