width;length;MT
90;905;714
79;603;-1
79;603;-1
79;603;1024
90;905;900
68;302;248
34;1207;1395
68;905;683
68;1207;1117
57;1207;-1
57;1207;-1
57;1207;961
34;603;-1
34;603;-1
34;603;868
90;905;807
45;302;-1
45;302;310
45;302;466
45;905;991
90;905;806
57;603;992
23;905;-1
23;905;1519
79;905;1255
90;302;433
79;905;1145
57;603;682
79;1207;2046
102;1207;1673
90;603;-1
90;603;1426
68;905;1334
23;1207;1737
79;1207;-1
79;1207;1612
57;1207;2047
90;905;1303
79;302;465
34;905;1550
102;302;310
68;905;1922
57;603;-1
57;603;1269
45;905;1427
23;603;-1
23;603;-1
23;603;-1
23;603;1550
57;1207;-1
57;1207;-1
57;1207;1520
90;1207;1116
57;603;713
90;603;619
57;603;683
79;603;651
90;1207;1039
57;1207;1241
45;905;931
34;1207;-1
34;1207;1705
45;603;870
34;302;-1
34;302;714
23;1207;-1
23;1207;2327
79;905;1024
90;302;372
34;603;836
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;2869
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;2203
45;302;435
102;302;248
102;905;464
68;603;403
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;1954
102;603;713
34;603;775
68;1207;1254
90;1207;1055
68;1207;1116
79;603;496
102;603;527
68;1207;-1
68;1207;-1
68;1207;1285
102;1207;-1
102;1207;-1
102;1207;1179
90;1207;-1
90;1207;992
79;302;217
45;1207;-1
45;1207;1519
45;603;-1
45;603;806
90;1207;1425
102;302;247
79;905;1084
68;603;869
45;603;-1
45;603;-1
45;603;-1
45;603;-1
45;603;712
102;905;712
79;302;311
102;603;465
102;302;248
102;302;154
23;302;-1
23;302;1208
102;603;527
102;1207;1023
45;603;1426
90;603;542
79;905;837
34;302;497
34;302;838
34;603;851
90;603;467
57;905;774
79;1207;807
68;905;650
57;905;773
23;302;342
68;603;464
102;905;619
68;603;402
68;905;681
79;302;279
45;905;869
57;302;248
45;603;465
102;603;342
34;905;-1
34;905;713
102;1207;419
45;1207;914
68;603;216
45;302;124
90;603;247
23;1207;868
34;302;185
23;905;-1
23;905;-1
23;905;-1
23;905;1983
23;302;-1
23;302;-1
23;302;-1
23;302;837
34;603;-1
34;603;-1
34;603;-1
34;603;836
45;1207;1272
23;905;1736
23;603;1146
57;905;712
102;1207;651
90;302;125
23;905;713
23;1207;1084
79;603;155
102;905;310
79;302;156
45;302;-1
45;302;-1
45;302;-1
45;302;372
23;302;558
68;302;217
34;302;435
68;1207;651
90;302;156
23;603;-1
23;603;-1
23;603;1179
34;905;931
79;603;373
57;905;682
23;302;403
57;905;651
23;905;1240
45;1207;930
23;603;683
57;1207;651
68;302;155
68;302;-1
68;302;185
90;302;156
102;905;497
68;302;216
79;1207;835
34;1207;-1
34;1207;-1
34;1207;1674
34;905;807
34;905;-1
34;905;712
34;1207;1239
79;1207;807
57;302;125
23;603;962
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;2512
57;302;185
57;302;247
57;302;1954
