width;length;MT
45;603;1012
57;302;306
45;302;486
79;1207;1132
79;302;428
79;905;1313
57;905;698
90;905;759
45;905;-1
45;905;1460
79;302;366
45;905;1241
90;603;491
57;905;941
57;302;395
68;302;346
90;302;234
68;302;303
23;905;1306
34;603;664
68;905;729
45;1207;1243
57;1207;-1
57;1207;1065
68;302;212
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;3165
102;905;516
102;302;218
34;1207;1675
45;905;641
34;905;849
34;905;695
57;1207;851
45;905;637
45;1207;916
102;1207;525
23;1207;-1
23;1207;1148
90;302;156
57;905;667
79;1207;-1
79;1207;1463
34;603;666
90;603;521
57;1207;969
57;302;-1
57;302;613
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;1278
90;603;192
102;302;148
90;905;700
68;1207;-1
68;1207;1624
57;302;247
45;905;939
57;905;-1
57;905;834
45;603;-1
45;603;303
68;302;121
45;302;183
23;905;1032
102;905;455
34;603;429
57;905;792
45;302;-1
45;302;185
23;603;663
90;603;309
90;302;60
57;603;216
79;603;255
68;302;91
102;302;108
90;905;397
79;905;485
90;1207;915
23;1207;-1
23;1207;-1
23;1207;609
90;603;177
23;603;-1
23;603;668
23;603;-1
23;603;-1
23;603;-1
23;603;8664
102;1207;637
79;905;302
102;1207;638
79;603;243
34;603;156
34;302;-1
34;302;622
57;302;270
68;905;1032
90;1207;605
68;905;363
79;1207;-1
79;1207;-1
79;1207;659
45;302;332
90;905;182
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;14478
102;905;306
68;1207;938
45;1207;865
68;603;299
90;1207;120
90;302;57
68;1207;213
68;905;514
45;302;60
90;905;90
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;1134
102;905;184
34;1207;882
57;603;272
68;603;245
57;1207;496
23;1207;454
79;302;122
57;603;149
102;302;58
23;302;212
102;302;188
102;905;638
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;1725
34;1207;-1
34;1207;913
57;1207;545
79;1207;365
23;603;239
23;905;-1
23;905;-1
23;905;909
68;603;-1
68;603;-1
68;603;-1
68;603;-1
68;603;886
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;2997
102;603;-1
102;603;244
79;905;271
68;905;364
68;1207;255
79;302;61
79;1207;242
23;302;397
102;1207;245
102;603;209
79;603;121
79;905;212
34;603;31
34;905;30
34;905;30
34;302;34
45;603;-1
45;603;338
79;603;208
102;603;26
68;1207;-1
68;1207;-1
68;1207;1760
57;603;458
102;603;270
45;603;300
90;302;122
79;302;183
23;302;183
79;603;401
90;1207;731
23;603;-1
23;603;3284
102;603;-1
102;603;-1
102;603;1159
90;1207;1152
57;603;245
45;1207;1639
45;1207;-1
45;1207;-1
45;1207;4142
34;302;181
23;302;-1
23;302;-1
23;302;5753
45;603;455
34;302;-1
34;302;1097
68;603;748
23;302;2129
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;4744
68;603;-1
68;603;1064
102;1207;1970
34;302;318
