width;length;MT
90;603;-1
90;603;2791
102;905;3708
23;302;716
23;905;2554
79;302;208
57;302;351
102;1207;1062
79;1207;966
23;603;792
102;1207;-1
102;1207;958
79;1207;1200
23;603;745
23;905;-1
23;905;3527
57;603;500
90;1207;931
102;302;104
79;603;250
45;905;230
102;1207;-1
102;1207;750
23;905;-1
23;905;-1
23;905;7494
34;905;-1
34;905;3354
102;302;104
34;905;4784
68;302;251
57;905;1584
34;1207;5869
34;1207;6563
23;1207;-1
23;1207;15007
102;302;208
68;302;313
102;603;521
45;603;1375
79;302;292
45;1207;14402
45;905;4500
90;302;333
79;603;646
57;302;355
79;603;730
34;603;1916
102;1207;2459
79;302;397
34;1207;13000
68;905;2014
23;302;4556
45;1207;6563
45;1207;8687
57;1207;3354
34;905;5893
23;603;5534
68;302;500
23;905;11736
57;1207;5896
34;1207;5683
68;302;1583
90;603;563
45;603;1646
23;1207;13473
68;1207;4062
57;1207;2938
90;302;354
68;905;1992
90;603;834
102;302;270
102;1207;1810
79;1207;1674
102;905;958
90;302;208
57;1207;3062
90;603;333
79;603;645
57;905;1188
102;302;250
34;1207;3735
23;1207;14326
90;1207;1416
34;302;1270
23;905;6375
68;905;583
90;302;145
34;603;1896
90;905;1145
90;603;541
23;302;1208
79;603;792
102;603;437
45;603;958
57;302;292
34;603;1701
68;905;2665
57;603;1208
90;302;291
34;302;646
68;905;1202
102;905;896
102;603;375
34;603;1354
34;302;771
57;1207;8291
45;302;501
79;302;313
57;905;1834
23;302;1625
68;603;1146
34;603;2083
23;603;4113
79;905;1521
102;905;834
45;603;1041
57;302;438
68;302;479
34;905;3372
34;905;4103
79;1207;2458
68;603;1104
45;905;2493
23;603;3180
23;1207;9229
68;603;520
79;302;209
102;603;374
57;905;1334
57;603;749
68;1207;1854
45;905;1522
79;905;813
102;905;542
57;905;834
79;905;625
45;603;875
79;1207;1542
90;1207;1062
23;302;1910
45;1207;2938
79;905;792
45;1207;2916
68;1207;2208
68;1207;2160
57;302;228
34;302;667
45;302;542
90;905;1125
23;1207;12458
68;1207;1639
90;905;833
57;603;855
45;905;3201
90;1207;1869
57;603;1230
34;302;896
90;1207;2021
90;905;1063
45;302;625
45;302;618
45;302;563
102;603;687
79;905;1645
68;603;1041
68;603;1042
90;905;1313
