width;length;MT
68;603;1766
23;603;-1
23;603;1301
34;603;767
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;-1
34;905;1499
90;302;115
79;603;101
45;905;-1
45;905;-1
45;905;450
90;603;-1
90;603;466
68;905;751
90;302;268
90;302;233
45;302;382
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;1050
90;603;1133
102;905;901
57;905;750
23;603;451
23;905;-1
23;905;1501
90;603;384
34;603;-1
34;603;1285
68;905;1934
45;603;1150
34;905;1318
57;603;1067
102;905;1150
102;905;1134
68;1207;1667
34;302;466
23;905;1483
57;1207;1301
79;302;250
79;302;567
23;302;550
34;302;384
45;905;1084
23;905;1283
57;905;1217
57;302;451
102;302;468
79;905;2433
102;905;1783
90;1207;2235
68;603;-1
68;603;867
79;302;500
45;302;-1
45;302;600
79;603;949
23;302;-1
23;302;-1
23;302;-1
23;302;784
34;302;1000
57;302;800
102;1207;1467
23;905;-1
23;905;2651
90;603;999
45;905;2001
23;302;-1
23;302;1900
57;905;2250
45;1207;-1
45;1207;1202
68;905;667
90;905;934
79;905;666
90;1207;784
23;302;-1
23;302;599
45;1207;1650
79;603;1067
57;905;850
34;603;-1
34;603;684
57;603;734
90;603;1017
23;905;-1
23;905;1383
57;905;983
45;1207;2234
34;1207;-1
34;1207;-1
34;1207;1634
79;603;750
90;905;900
34;302;-1
34;302;750
45;603;535
57;603;585
79;302;183
90;1207;549
45;603;450
90;905;701
102;302;199
68;603;384
57;1207;700
34;603;566
45;905;633
79;302;216
45;1207;448
68;603;368
23;1207;502
34;905;549
79;1207;334
102;302;217
45;1207;418
68;905;584
45;905;384
90;1207;-1
90;1207;483
45;302;84
90;302;133
68;603;217
45;603;402
68;905;183
57;302;184
102;603;116
34;302;217
45;603;150
102;302;134
68;1207;-1
68;1207;-1
68;1207;350
45;302;166
23;302;333
79;603;149
57;302;184
90;302;165
57;603;201
34;1207;517
34;1207;-1
34;1207;517
34;603;417
57;603;318
57;1207;585
102;603;168
23;1207;700
79;905;383
102;603;333
90;905;334
45;302;250
57;302;201
79;905;367
57;1207;350
102;302;150
23;1207;568
68;302;117
68;302;133
79;1207;534
68;302;117
68;302;232
79;905;467
102;1207;418
90;905;249
102;905;367
23;1207;-1
23;1207;617
90;1207;350
68;302;84
34;1207;367
68;1207;483
23;603;384
79;1207;267
57;1207;617
79;1207;550
102;1207;332
79;1207;-1
79;1207;282
34;905;383
68;1207;367
23;1207;434
23;603;366
102;1207;233
23;603;435
34;905;399
102;1207;350
102;603;233
68;1207;467
102;603;450
