width;length;MT
102;905;744
68;603;-1
68;603;589
23;1207;1768
102;302;650
79;603;838
68;302;620
68;603;745
45;1207;1209
90;905;1269
90;1207;776
45;603;1052
23;302;806
34;603;713
102;1207;806
57;905;1085
102;302;217
90;905;745
45;302;-1
45;302;681
102;1207;1146
34;905;1303
45;302;497
79;603;589
79;905;930
102;905;1053
90;1207;992
34;1207;-1
34;1207;1364
90;905;961
90;1207;867
45;905;1054
45;905;1084
90;905;-1
90;905;744
34;603;-1
34;603;744
68;603;743
79;1207;-1
79;1207;-1
79;1207;900
68;302;402
23;603;-1
23;603;743
68;603;683
34;905;1209
102;905;805
45;1207;1117
102;1207;899
102;603;682
34;1207;1240
90;302;403
68;302;495
23;1207;1394
79;1207;-1
79;1207;558
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;806
23;603;-1
23;603;-1
23;603;1890
57;1207;991
57;905;1302
57;1207;1102
68;905;-1
68;905;1860
45;1207;1456
79;905;-1
79;905;1117
45;905;-1
45;905;2295
45;1207;-1
45;1207;2789
90;1207;2635
79;603;-1
79;603;-1
79;603;1146
45;302;745
90;905;1643
90;302;497
90;302;496
57;603;1053
57;1207;1148
57;302;436
23;603;-1
23;603;1178
90;302;433
102;905;962
23;1207;-1
23;1207;2915
23;603;1302
45;603;745
45;905;-1
45;905;1023
45;302;373
79;603;712
34;1207;1519
102;603;776
23;302;-1
23;302;804
90;302;495
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;3285
45;905;-1
45;905;2108
34;302;836
68;603;1611
90;1207;2789
57;1207;-1
57;1207;3099
57;603;1178
68;302;682
102;1207;2046
57;905;1736
34;603;900
90;603;1241
57;905;-1
57;905;-1
57;905;1677
68;905;1210
45;302;527
34;302;714
23;905;1550
68;1207;1209
79;1207;1208
57;603;868
23;1207;1006
57;905;960
57;302;527
34;905;1225
34;1207;992
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;3160
57;302;743
23;905;1764
90;603;899
68;905;931
34;603;806
34;905;-1
34;905;1054
34;302;590
23;603;-1
23;603;1550
79;1207;-1
79;1207;1487
45;603;-1
45;603;-1
45;603;-1
45;603;836
57;302;900
68;905;1148
68;302;-1
68;302;403
79;302;465
90;603;-1
90;603;650
79;1207;-1
79;1207;1489
102;905;621
45;603;-1
45;603;992
23;302;558
45;1207;1301
34;905;930
102;1207;869
23;905;1086
68;905;838
102;603;371
90;603;467
23;905;-1
23;905;-1
23;905;2418
102;302;340
34;302;-1
34;302;-1
34;302;-1
34;302;495
79;302;371
45;603;-1
45;603;-1
45;603;-1
45;603;1117
23;302;775
79;905;898
79;905;588
68;1207;774
34;302;404
79;905;743
90;603;464
79;302;278
23;905;1210
23;302;496
68;1207;713
57;603;652
102;603;683
68;1207;960
57;302;278
57;603;527
102;302;217
102;603;621
79;302;311
79;302;216
68;1207;1208
102;302;247
