width;length;MT
79;1207;7791
102;302;3725
57;302;1707
68;1207;7970
23;1207;14950
34;603;4232
68;905;4762
90;1207;6314
79;905;3420
68;603;1339
68;603;2451
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;35301
57;1207;8762
57;905;3959
57;905;-1
57;905;6434
102;603;3836
57;603;3420
79;603;2950
57;1207;9009
57;302;1847
23;905;-1
23;905;17531
23;1207;-1
23;1207;25948
23;1207;15950
57;1207;6317
57;905;4637
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;23666
34;603;4934
90;1207;4871
90;905;3824
102;302;702
90;302;1224
102;603;2294
102;1207;5400
45;603;2847
23;603;10331
79;302;463
90;905;3454
45;603;3021
102;1207;6178
102;905;2773
45;1207;7840
34;905;9337
68;905;-1
68;905;5145
90;302;1583
102;1207;4426
68;1207;4976
68;603;1965
102;302;590
90;1207;5031
57;905;4454
45;1207;7561
102;603;1296
90;603;1203
45;603;2715
90;1207;3821
90;603;1573
34;905;5767
68;603;1763
34;603;2692
90;603;1109
79;1207;4521
45;905;4442
79;905;2534
68;1207;3845
68;905;2614
34;1207;5957
90;905;1892
23;302;-1
23;302;-1
23;302;3270
45;1207;5488
79;603;997
79;302;951
79;905;2931
90;302;957
34;905;5631
102;905;3263
102;1207;4310
79;302;1440
57;603;2654
57;905;5424
45;603;3008
45;302;1062
23;905;11068
68;302;1647
68;302;994
23;905;14740
23;302;2567
79;905;3030
34;905;-1
34;905;9398
68;302;621
23;302;1762
68;1207;6541
90;302;426
34;905;7490
45;603;-1
45;603;3023
102;905;2347
102;603;-1
102;603;24399
90;603;5442
90;302;683
34;603;7537
102;603;2291
68;302;1587
90;1207;5510
45;1207;8631
90;905;3343
23;603;8397
79;603;3269
57;1207;5108
23;905;10356
34;1207;-1
34;1207;10001
68;905;4872
79;302;-1
79;302;-1
79;302;198
102;302;408
23;603;5923
23;302;-1
23;302;3205
34;302;1586
68;1207;7335
57;603;3546
23;302;4655
102;1207;4415
79;603;2788
23;905;12301
68;905;2606
45;1207;9545
34;603;4665
23;603;-1
23;603;-1
23;603;7415
57;603;4036
79;1207;5250
79;1207;4752
79;302;1028
102;905;2259
34;1207;12740
23;603;11800
57;603;3642
79;1207;6698
79;905;4318
34;302;1277
45;302;1356
57;1207;10133
45;302;1469
102;302;995
45;905;9611
45;302;3232
45;905;5666
34;302;1557
45;905;-1
45;905;8533
90;603;3653
90;905;3991
57;302;1162
45;905;8464
34;1207;15664
57;302;3272
45;302;-1
45;302;1527
57;302;1220
68;302;1020
79;603;3700
34;1207;13878
68;603;2930
34;302;1307
34;302;1456
