width;length;MT
34;905;4031
34;1207;2342
23;603;-1
23;603;-1
23;603;4632
45;302;1773
45;1207;2007
68;603;920
90;905;2308
79;603;1504
23;1207;2422
23;1207;6456
79;302;1404
57;1207;1707
34;302;770
79;603;836
90;302;1103
68;302;602
79;603;602
45;302;804
79;302;686
34;905;669
34;603;902
45;603;787
68;1207;1322
68;302;634
34;302;969
45;603;736
102;905;970
79;905;603
45;603;552
102;1207;585
102;1207;-1
102;1207;585
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;1372
102;302;235
79;302;569
102;302;1169
23;1207;-1
23;1207;1255
68;1207;-1
68;1207;1354
57;1207;1005
90;603;684
57;302;568
79;1207;771
102;1207;886
23;905;719
102;1207;703
57;603;619
68;603;502
79;905;2810
68;603;1356
45;603;435
23;1207;903
90;905;1053
90;603;485
102;603;436
34;302;686
45;603;552
57;1207;1022
102;603;552
102;603;285
34;1207;619
57;302;419
90;302;418
34;1207;-1
34;1207;1087
57;1207;803
90;1207;619
68;603;720
57;1207;837
68;905;1038
102;603;887
90;302;887
79;603;1104
34;1207;1305
90;302;769
102;1207;1187
79;603;1355
45;1207;-1
45;1207;-1
45;1207;1840
34;905;818
34;1207;703
23;905;1170
57;302;632
68;603;1722
90;603;-1
90;603;1321
102;905;687
34;302;350
68;302;234
79;905;453
90;1207;552
34;905;-1
34;905;1253
45;1207;920
57;302;434
23;603;886
57;905;-1
57;905;802
68;302;284
102;905;2259
34;603;1287
57;905;1924
68;1207;2875
34;302;469
57;603;-1
57;603;401
23;302;670
45;302;804
34;603;736
34;603;552
79;1207;836
23;603;703
34;603;519
90;1207;1304
68;1207;855
102;302;385
23;302;418
68;905;1121
23;302;753
102;302;637
102;905;871
23;603;-1
23;603;719
57;302;687
34;905;-1
34;905;-1
34;905;921
68;302;954
90;905;1021
90;302;368
102;302;570
68;905;536
90;603;371
68;905;937
90;603;602
102;905;467
79;302;283
79;302;202
90;905;436
79;1207;434
68;1207;367
23;302;201
79;1207;452
45;905;636
90;1207;886
23;603;468
23;905;669
23;905;-1
23;905;1170
90;1207;603
45;1207;552
45;905;569
23;905;686
45;1207;635
102;603;133
45;302;184
68;905;318
79;905;284
79;1207;351
57;905;334
57;603;-1
57;603;419
57;603;385
57;905;436
90;905;434
23;302;302
79;905;384
45;302;168
57;603;385
57;905;368
45;905;537
45;905;-1
45;905;452
45;905;368
