width;length;MT
57;1207;8917
34;905;5148
90;603;2186
45;603;2532
79;1207;4267
102;603;2100
34;1207;11099
79;905;2712
57;1207;4317
34;905;-1
34;905;-1
34;905;9192
23;302;5017
102;603;1166
34;603;7864
90;603;1156
57;302;2032
45;302;1332
90;1207;5458
57;905;2399
79;603;1236
102;905;2016
79;905;2151
79;905;1917
23;905;22849
23;302;5846
57;302;1760
23;1207;28482
79;905;3441
34;302;2636
68;1207;4784
90;1207;13798
23;905;21568
34;905;8168
90;905;1782
57;1207;-1
57;1207;9366
90;302;882
23;302;10719
79;1207;6400
68;905;4733
90;302;1054
68;302;817
102;603;986
34;302;3932
102;302;1365
34;905;14116
57;1207;9524
79;603;2100
90;1207;3709
102;603;1953
90;302;2200
90;1207;3622
34;603;7884
68;1207;4051
45;603;5300
79;302;850
79;905;3117
102;905;2621
23;603;8950
57;603;1651
23;905;12493
90;1207;2025
102;1207;1926
34;603;3767
34;1207;13619
23;603;-1
23;603;13649
90;302;584
57;905;2940
23;302;4534
45;603;2145
68;905;2249
57;603;1390
45;603;1815
57;1207;-1
57;1207;4732
45;1207;8135
57;603;1213
34;603;4117
68;302;368
34;905;4835
79;603;600
102;905;1001
57;905;2233
45;1207;3741
57;302;399
90;905;849
102;1207;1395
90;603;565
23;302;2458
23;905;-1
23;905;-1
23;905;28518
68;302;701
68;302;628
102;603;1004
79;1207;1684
23;905;-1
23;905;17643
23;603;11200
34;603;3233
79;302;367
79;603;701
34;302;1879
90;302;349
45;603;-1
45;603;-1
45;603;4783
34;1207;-1
34;1207;70330
57;905;3550
79;302;565
34;302;-1
34;302;3172
57;302;903
102;1207;2844
34;302;2099
102;905;888
90;603;715
102;302;328
79;1207;1632
68;905;1051
34;1207;7347
68;603;899
68;302;519
90;905;1052
45;1207;5038
45;302;978
45;905;2235
102;1207;2201
68;905;1002
79;302;485
34;1207;4449
57;905;2452
102;905;990
23;1207;220165
79;1207;-1
79;1207;1632
68;905;1848
45;302;768
79;302;337
57;603;819
79;603;654
68;1207;1001
90;603;540
68;603;500
90;905;1101
68;603;-1
68;603;832
57;302;650
23;1207;7966
68;1207;2001
57;603;571
102;1207;1153
102;302;67
23;603;5498
90;905;801
45;1207;-1
45;1207;6000
45;302;401
68;603;832
23;1207;7517
23;603;6900
45;1207;1959
68;1207;-1
68;1207;3354
45;905;2030
45;302;565
45;905;3451
68;603;534
23;1207;9200
45;905;-1
45;905;5149
102;302;252
45;905;4325
102;302;266
