width;length;MT
34;603;5878
23;603;10251
45;302;-1
45;302;1535
79;905;3822
45;603;3559
34;302;1251
102;905;1133
102;302;289
68;905;-1
68;905;3151
34;905;-1
34;905;5653
57;1207;-1
57;1207;-1
57;1207;3277
68;603;1315
57;1207;-1
57;1207;4781
45;603;-1
45;603;2799
90;603;1022
45;302;1507
45;302;644
90;603;938
34;302;1165
34;905;-1
34;905;-1
34;905;8507
23;1207;-1
23;1207;20718
45;1207;-1
45;1207;11035
79;603;3689
45;302;-1
45;302;3135
57;905;-1
57;905;4459
57;302;1089
79;905;4088
23;603;9594
68;1207;4310
79;1207;5216
79;302;1164
57;905;4534
23;1207;-1
23;1207;12271
68;603;-1
68;603;3566
23;302;-1
23;302;3363
57;302;959
79;302;787
45;905;4368
102;1207;3129
68;302;431
68;905;3437
45;905;-1
45;905;4406
57;905;-1
57;905;-1
57;905;5287
68;1207;6968
34;905;5727
57;905;4166
23;905;7817
90;603;987
90;302;434
68;603;2719
34;905;4302
79;905;3745
23;905;-1
23;905;-1
23;905;-1
23;905;8876
23;302;4687
34;905;4498
45;905;5218
34;1207;-1
34;1207;8002
68;1207;-1
68;1207;-1
68;1207;4893
23;905;-1
23;905;12532
57;1207;6406
90;905;2374
68;302;998
57;1207;-1
57;1207;5347
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;19095
45;302;-1
45;302;906
45;905;-1
45;905;-1
45;905;-1
45;905;6624
68;905;4780
23;603;9842
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;21562
102;603;1750
45;603;2317
34;1207;7096
102;302;-1
102;302;1308
34;603;6971
102;1207;2844
90;905;3165
90;1207;4849
102;905;2406
57;302;782
68;905;3532
68;302;905
102;1207;3386
23;603;4683
79;1207;-1
79;1207;3531
34;603;2630
45;603;2502
90;1207;-1
90;1207;5809
34;302;2311
45;905;3467
23;302;3320
102;905;2594
90;302;747
68;1207;5065
79;905;2719
79;905;2373
23;1207;-1
23;1207;8847
102;1207;-1
102;1207;2750
23;603;-1
23;603;5659
45;1207;6218
102;302;965
90;302;813
34;603;-1
34;603;6378
102;302;966
34;603;3254
90;1207;3899
102;302;-1
102;302;1028
23;302;4998
45;1207;-1
45;1207;-1
45;1207;7449
45;1207;5593
90;302;962
102;603;1001
102;1207;2898
90;603;909
34;1207;-1
34;1207;14827
23;302;-1
23;302;3257
34;1207;6941
57;905;-1
57;905;3193
45;1207;5251
90;905;1530
45;603;2315
102;603;903
34;1207;5673
57;603;1341
68;1207;-1
68;1207;-1
68;1207;3435
57;1207;3314
68;905;2968
90;905;1431
57;603;1535
23;905;7852
90;302;521
34;302;2845
68;302;1249
79;603;1972
90;1207;4287
90;1207;2576
90;603;1438
79;603;1306
102;905;2496
79;603;1071
68;603;1456
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;5203
57;302;1923
90;905;2782
102;603;1322
79;603;1283
68;603;-1
68;603;2217
57;603;2694
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;9281
34;302;-1
34;302;1379
57;603;3480
79;1207;-1
79;1207;-1
79;1207;5033
79;1207;-1
79;1207;-1
79;1207;5597
79;302;666
102;905;2218
57;302;1090
68;302;787
102;603;842
57;603;2282
79;302;557
79;302;579
