width;length;MT
102;905;-1
102;905;-1
102;905;972
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;30407
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;12373
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;16250
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;-1
79;1207;7533
23;905;7220
79;1207;6031
102;905;1406
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;6064
68;603;1875
45;905;4033
23;603;-1
23;603;-1
23;603;-1
23;603;1911
45;603;-1
45;603;-1
45;603;-1
45;603;905
34;603;2781
57;302;-1
57;302;-1
57;302;2937
79;302;313
90;603;2126
34;302;781
57;603;1217
90;905;1468
45;905;875
102;905;689
102;603;656
68;603;625
57;603;470
68;603;624
34;302;281
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;10537
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;4312
34;302;876
90;1207;970
79;1207;-1
79;1207;1875
90;905;1344
90;302;594
102;1207;1907
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;27720
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;26750
57;905;9595
57;603;-1
57;603;6032
79;905;5812
23;905;-1
23;905;-1
23;905;23218
34;302;-1
34;302;3874
102;603;1749
68;1207;7811
90;603;1626
102;302;876
79;1207;3593
45;1207;9000
57;905;3312
90;302;842
34;302;2906
90;603;1907
79;302;1125
68;603;2124
68;1207;3501
23;905;-1
23;905;-1
23;905;14062
79;603;1720
45;302;1346
90;905;-1
90;905;2750
57;603;2501
34;1207;-1
34;1207;12563
90;1207;2689
23;1207;-1
23;1207;14876
68;302;875
79;302;1000
57;905;-1
57;905;3251
90;603;1251
23;302;-1
23;302;3875
23;603;-1
23;603;-1
23;603;11001
57;603;2345
23;302;-1
23;302;4157
79;905;2125
23;302;2812
102;302;562
57;302;-1
57;302;1874
68;1207;4969
90;603;1312
34;603;4687
102;905;1969
34;1207;-1
34;1207;-1
34;1207;16407
102;302;438
23;603;-1
23;603;-1
23;603;10594
68;905;-1
68;905;4998
45;603;-1
45;603;-1
45;603;4562
34;603;6156
102;1207;3219
45;1207;-1
45;1207;8031
34;905;-1
34;905;-1
34;905;9436
102;1207;-1
102;1207;3501
102;905;6000
57;302;1875
90;302;1375
102;603;2404
34;905;6657
68;905;3998
45;905;3469
23;302;1125
68;603;2187
90;302;875
79;1207;3720
57;302;906
23;603;2438
45;603;-1
45;603;1311
34;905;2063
57;905;1437
57;302;437
45;603;781
57;1207;1125
23;302;-1
23;302;813
90;302;374
34;603;1250
102;1207;1938
102;302;627
45;905;1533
34;905;-1
34;905;-1
34;905;1001
34;603;720
90;905;720
102;302;250
79;603;500
90;1207;876
102;603;595
79;302;438
79;302;376
68;302;218
68;905;687
90;905;531
34;1207;845
45;603;594
68;302;375
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;2125
102;1207;905
90;1207;1001
57;905;685
90;1207;844
45;302;468
23;1207;1093
102;603;563
57;1207;1062
45;1207;905
68;302;282
79;603;657
45;905;655
34;905;843
45;302;407
23;1207;-1
23;1207;-1
23;1207;2468
68;905;969
45;302;561
68;1207;1093
68;302;469
68;905;751
45;302;594
45;1207;-1
45;1207;1406
79;603;750
68;1207;1094
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;3437
79;905;655
79;905;751
79;603;594
57;1207;1218
79;905;907
