width;length;MT
68;603;843
57;1207;4404
68;603;517
57;905;1345
68;1207;1616
57;905;1270
23;905;4398
34;1207;-1
34;1207;7310
90;302;186
23;603;1407
34;905;2311
34;302;510
90;603;397
68;603;502
23;302;375
45;603;781
79;302;126
79;1207;-1
79;1207;3979
34;905;-1
34;905;7893
90;905;713
45;1207;2913
79;302;187
57;905;2023
68;1207;-1
68;1207;4000
34;1207;7056
102;1207;700
23;1207;-1
23;1207;12660
68;1207;2129
68;1207;1263
23;1207;-1
23;1207;-1
23;1207;17029
57;603;720
68;603;772
23;302;-1
23;302;2940
34;302;538
68;603;861
45;1207;3051
57;603;532
79;603;445
57;603;530
45;1207;1761
102;302;157
57;603;654
23;603;-1
23;603;2383
57;905;1127
68;302;246
102;905;522
23;603;933
79;302;125
57;603;424
34;905;3945
23;905;2824
45;905;1466
57;905;768
57;1207;-1
57;1207;3098
68;1207;1292
45;1207;-1
45;1207;-1
45;1207;5504
79;302;119
90;1207;1151
45;905;714
34;905;-1
34;905;-1
34;905;6221
57;302;219
79;1207;1358
34;905;-1
34;905;5268
34;302;627
23;1207;20525
23;302;-1
23;302;-1
23;302;1089
102;603;714
68;905;1306
102;302;110
68;302;249
90;302;221
79;603;398
102;302;189
102;302;156
45;1207;1687
23;603;5561
102;905;-1
102;905;1323
102;905;1044
79;603;366
79;603;403
57;302;361
102;603;-1
102;603;634
45;905;1951
102;905;569
34;1207;5529
79;302;254
90;603;411
57;302;495
45;302;515
90;905;1065
102;905;1103
23;905;-1
23;905;-1
23;905;11718
68;302;193
90;302;154
34;603;2933
102;302;158
45;905;-1
45;905;-1
45;905;-1
45;905;2372
79;603;538
57;1207;1786
34;603;2019
45;905;1596
45;603;-1
45;603;2463
57;302;403
34;1207;-1
34;1207;8780
68;905;719
34;603;-1
34;603;3287
68;905;-1
68;905;2967
45;603;-1
45;603;2029
68;302;228
90;302;375
23;302;-1
23;302;1881
23;302;1893
23;905;-1
23;905;-1
23;905;-1
23;905;10637
90;603;470
45;302;727
102;1207;1791
68;905;1346
34;1207;7324
34;603;1382
45;603;1583
34;603;2372
68;905;2093
57;1207;2761
102;1207;1277
90;905;716
23;905;-1
23;905;-1
23;905;-1
23;905;11555
90;1207;2328
23;1207;24653
79;1207;1357
45;603;-1
45;603;2922
102;1207;3812
23;1207;18712
34;302;351
90;1207;2094
57;302;656
90;905;1767
90;905;-1
90;905;1361
79;905;1424
90;302;227
23;603;-1
23;603;5470
90;1207;1525
102;1207;1264
68;302;576
34;302;1501
45;302;967
90;603;717
57;1207;2567
79;1207;1549
45;302;435
90;1207;1231
45;302;538
79;1207;1569
79;905;662
90;603;438
102;603;290
79;905;611
79;905;476
79;905;530
102;603;230
102;603;214
