width;length;MT
23;603;-1
23;603;1767
57;302;450
57;1207;-1
57;1207;770
45;302;150
45;1207;600
45;302;400
45;302;784
34;1207;500
102;905;283
45;905;350
23;603;467
45;1207;417
57;302;-1
57;302;82
90;1207;149
102;1207;-1
102;1207;299
57;1207;216
102;302;184
23;905;1051
68;302;150
68;905;200
23;603;500
23;603;1184
90;905;384
68;905;1167
90;1207;333
23;1207;317
68;905;533
102;603;-1
102;603;151
34;302;267
34;302;1200
102;302;500
23;905;567
79;302;349
102;1207;353
57;1207;450
68;603;451
57;603;416
34;603;432
45;905;382
90;905;251
45;905;501
23;1207;150
79;905;230
23;1207;300
23;905;183
23;603;83
23;1207;450
45;603;168
79;1207;300
102;603;167
23;1207;350
68;302;67
79;302;50
102;905;350
34;905;267
79;603;200
68;603;350
68;905;167
45;603;218
34;603;318
34;1207;650
79;302;117
90;905;267
68;603;133
102;1207;303
45;603;353
34;905;317
90;1207;300
90;603;217
79;603;650
79;1207;300
90;1207;317
23;302;367
68;603;133
23;302;233
79;603;133
90;302;100
102;302;50
68;302;84
45;603;-1
45;603;283
102;1207;-1
102;1207;367
90;1207;-1
90;1207;217
23;905;384
34;1207;-1
34;1207;433
90;603;663
23;905;-1
23;905;466
68;603;300
34;1207;451
68;302;200
90;603;334
34;603;567
57;1207;383
68;302;203
45;603;317
68;905;400
102;603;233
45;905;432
68;1207;417
34;905;333
90;302;154
90;905;-1
90;905;334
90;603;-1
90;603;167
57;1207;-1
57;1207;317
90;302;117
79;905;267
23;302;301
79;603;300
79;302;134
79;603;300
45;302;83
57;603;217
90;905;583
79;905;200
79;905;233
79;905;250
45;1207;549
45;1207;433
57;603;167
45;905;349
34;905;-1
34;905;417
90;302;100
45;302;-1
45;302;233
57;603;200
102;603;-1
102;603;131
45;1207;382
34;603;317
102;1207;267
90;302;84
34;603;350
102;905;583
34;302;218
57;302;150
102;302;150
102;302;133
79;1207;416
34;905;349
79;302;70
34;1207;-1
34;1207;449
79;1207;-1
79;1207;267
102;905;233
57;905;400
57;302;67
57;302;183
90;603;283
23;302;299
57;603;-1
57;603;-1
57;603;267
102;603;150
23;302;267
79;1207;317
34;302;251
57;905;351
68;1207;467
68;1207;-1
68;1207;250
68;1207;350
34;302;434
102;905;268
57;905;331
57;905;267
57;905;334
68;1207;402
