width;length;MT
102;302;301
68;302;174
102;905;184
34;905;233
57;603;66
34;905;283
68;302;99
23;603;300
90;905;182
45;302;118
34;1207;-1
34;1207;334
68;905;-1
68;905;100
23;603;266
57;1207;300
45;905;266
102;302;67
102;905;150
90;603;184
102;302;66
57;905;267
45;905;233
45;302;67
34;302;85
90;905;118
102;905;183
23;302;133
45;905;233
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;384
57;603;116
90;603;-1
90;603;134
79;905;166
45;603;-1
45;603;400
79;905;1115
68;603;351
45;1207;516
102;1207;434
34;1207;-1
34;1207;1601
34;905;817
57;603;184
90;603;201
34;905;550
102;905;501
90;905;283
79;302;133
23;905;634
68;905;283
90;905;499
45;1207;833
45;1207;500
57;1207;584
79;302;66
102;302;183
68;905;250
23;1207;1084
23;905;317
57;603;166
23;302;49
57;905;317
79;603;150
102;302;99
79;905;150
45;302;68
68;1207;333
45;603;150
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;684
68;1207;283
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;234
68;302;50
57;302;33
68;1207;317
34;905;333
68;905;269
45;302;167
102;905;234
34;1207;650
45;603;250
34;1207;400
57;302;167
79;905;282
79;603;250
45;302;150
34;1207;483
79;905;350
68;1207;367
34;302;84
102;1207;350
68;302;116
68;603;283
34;603;299
90;302;68
68;302;116
45;1207;768
45;603;268
79;1207;300
68;905;283
34;603;233
23;905;-1
23;905;-1
23;905;683
57;302;118
79;1207;334
23;603;417
90;905;267
34;603;384
102;1207;233
23;905;716
68;1207;334
79;1207;467
90;302;132
68;603;450
68;603;232
79;1207;434
68;603;-1
68;603;183
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;1035
90;302;50
23;1207;717
57;905;384
102;603;150
90;1207;432
23;603;400
79;1207;317
57;1207;451
79;603;217
57;1207;499
23;905;-1
23;905;-1
23;905;833
45;905;-1
45;905;367
79;603;117
23;302;350
45;905;350
90;603;233
90;603;-1
90;603;267
45;603;400
57;603;183
23;603;684
102;603;117
57;302;183
57;302;67
90;1207;350
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;1902
79;302;116
90;1207;284
23;302;-1
23;302;335
34;603;-1
34;603;783
34;603;301
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;-1
23;302;634
34;302;250
34;302;-1
34;302;383
102;1207;817
90;1207;384
34;302;233
90;1207;300
79;302;149
102;1207;318
90;302;102
90;302;84
102;603;248
102;603;100
79;302;166
102;603;249
79;603;383
57;905;217
57;905;383
