width;length;MT
45;603;1675
79;905;-1
79;905;3734
23;905;13792
90;1207;13805
34;1207;-1
34;1207;-1
34;1207;14003
68;905;-1
68;905;-1
68;905;7936
34;302;3379
23;603;10708
90;603;1117
79;302;1139
34;905;7417
34;1207;-1
34;1207;11685
45;905;6848
23;1207;19734
68;905;1564
79;1207;3964
45;603;3408
45;905;5113
79;603;620
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;20729
34;905;4959
79;905;1208
57;302;620
102;905;1270
23;1207;10875
23;905;-1
23;905;-1
23;905;6990
23;1207;10495
102;905;543
23;905;6229
57;1207;4431
102;302;200
23;905;-1
23;905;5966
102;302;203
102;603;852
45;1207;4493
68;603;696
102;603;402
102;603;233
90;302;200
57;905;2324
102;603;387
45;302;527
57;905;1703
23;302;-1
23;302;1968
45;1207;3531
23;905;-1
23;905;6191
68;905;976
45;302;343
23;302;-1
23;302;1116
45;905;1992
102;905;434
79;302;186
57;905;666
34;1207;-1
34;1207;6811
57;302;558
23;603;5919
90;603;527
79;302;186
34;603;1984
102;302;217
68;1207;1937
57;603;603
79;302;217
68;603;619
68;603;431
34;603;2013
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;10721
68;1207;5006
45;1207;-1
45;1207;4430
57;302;278
34;603;-1
34;603;4356
90;603;496
57;1207;3456
90;302;-1
90;302;497
79;603;651
34;302;1734
34;905;7283
90;1207;3345
102;603;-1
102;603;1049
45;1207;9017
79;905;761
23;302;3206
45;905;1984
45;1207;4447
57;603;651
102;302;186
102;302;93
68;302;187
23;603;4124
23;302;1859
23;302;1765
57;1207;3483
23;1207;9573
34;302;992
79;603;790
68;302;465
45;905;-1
45;905;-1
45;905;4385
34;603;3561
68;905;1766
68;1207;3347
79;603;527
68;1207;2805
34;1207;7280
57;302;388
90;1207;1999
57;1207;3318
90;1207;1210
68;1207;2076
68;302;231
102;905;530
102;1207;1147
34;302;1396
90;1207;2294
79;302;342
34;905;6354
90;603;682
68;905;2031
45;603;1657
57;1207;2822
45;603;1206
68;603;496
90;603;418
45;302;573
57;302;315
102;1207;1598
102;905;637
45;603;-1
45;603;2048
90;905;1301
102;1207;1874
102;1207;1705
79;1207;2447
57;603;789
79;603;773
34;905;6105
34;603;2495
23;603;5074
90;905;1070
57;603;588
90;905;730
57;905;1457
23;603;5546
79;1207;1674
79;905;651
34;302;590
79;905;1022
90;905;558
90;302;217
68;302;186
68;302;155
68;603;527
90;302;217
102;1207;1426
45;302;529
79;1207;1348
45;302;249
57;905;836
57;603;401
79;1207;1688
90;302;186
90;905;510
