width;length;MT
79;905;4122
90;603;-1
90;603;1828
68;905;1673
34;603;1766
57;603;1271
34;603;-1
34;603;1922
45;603;-1
45;603;-1
45;603;-1
45;603;-1
45;603;-1
45;603;1767
23;302;1674
45;302;-1
45;302;-1
45;302;-1
45;302;1334
90;302;1551
102;302;187
90;603;1115
57;1207;961
34;302;884
90;1207;946
45;603;743
102;302;868
23;603;1331
68;905;294
45;603;681
34;1207;775
45;603;495
90;603;-1
90;603;-1
90;603;1178
57;302;-1
57;302;713
34;905;-1
34;905;1146
45;603;-1
45;603;805
45;905;-1
45;905;-1
45;905;1594
90;1207;1022
79;905;-1
79;905;-1
79;905;1270
68;302;372
68;603;806
68;302;465
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;-1
34;1207;1984
34;905;2014
23;1207;465
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;1146
45;302;-1
45;302;805
34;1207;-1
34;1207;-1
34;1207;1083
45;302;372
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;1705
23;603;1333
90;603;-1
90;603;1333
57;905;2014
90;1207;1455
23;905;1240
79;905;-1
79;905;-1
79;905;-1
79;905;-1
79;905;992
68;603;637
57;603;402
79;905;528
68;603;309
68;905;-1
68;905;868
90;603;341
102;302;156
23;302;186
90;905;434
90;1207;527
34;603;371
90;302;125
23;603;805
57;905;-1
57;905;-1
57;905;465
23;603;713
102;905;-1
102;905;-1
102;905;-1
102;905;-1
102;905;-1
102;905;1086
23;1207;1518
102;302;248
102;1207;-1
102;1207;-1
102;1207;-1
102;1207;-1
102;1207;1302
57;1207;715
34;302;-1
34;302;-1
34;302;1022
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;-1
45;905;1471
68;603;744
45;905;991
79;1207;1178
102;905;-1
102;905;-1
102;905;2818
68;1207;1923
102;1207;868
57;1207;899
68;302;186
90;905;-1
90;905;867
34;905;-1
34;905;-1
23;1207;1859
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;15248
34;905;4741
102;1207;1674
102;603;-1
102;603;619
102;1207;-1
102;1207;-1
102;1207;1767
23;302;1270
102;905;1548
57;905;-1
57;905;-1
57;905;3674
102;603;1427
79;1207;2913
102;905;1425
90;1207;1643
34;603;-1
34;603;1239
34;302;992
57;905;929
57;905;-1
57;905;1131
90;302;92
68;905;1333
68;905;-1
68;905;-1
68;905;-1
68;905;992
34;905;2294
34;1207;-1
34;1207;1426
34;1207;1703
68;302;403
57;302;682
34;603;-1
34;603;931
45;302;775
45;905;-1
45;905;-1
45;905;-1
45;905;1116
102;905;714
45;905;992
68;603;899
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;6818
45;302;744
23;603;806
79;603;619
23;905;930
79;302;279
102;302;155
90;302;187
90;905;-1
90;905;559
68;302;247
68;1207;1269
57;1207;-1
57;1207;-1
57;1207;6522
68;1207;-1
68;1207;2602
79;603;341
57;302;403
68;1207;-1
68;1207;3905
79;302;248
57;603;434
45;1207;2789
90;905;434
90;905;1518
23;302;-1
23;302;-1
23;302;3750
79;905;3842
79;603;588
57;603;1115
79;603;682
79;603;434
23;905;2727
102;1207;884
68;1207;1054
79;1207;-1
79;1207;2077
57;1207;2046
79;302;-1
79;302;992
23;905;2683
79;1207;2170
23;905;1859
57;302;526
45;1207;2293
79;1207;1022
34;302;682
57;302;279
45;1207;899
102;603;403
90;302;279
102;603;403
102;603;370
79;302;218
79;302;217
57;603;434
