width;length;MT
23;1207;-1
34;1207;1531
23;1207;-1
23;1207;-1
23;1207;6655
102;905;-1
102;905;2763
90;905;1814
45;1207;-1
45;1207;-1
45;1207;3960
57;302;2663
68;603;1082
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;-1
23;905;7158
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;6224
90;1207;2730
23;905;3612
68;302;417
57;905;2298
68;1207;2196
68;603;1733
90;905;1889
90;302;533
45;302;899
45;1207;-1
45;1207;2047
45;905;2083
102;603;697
79;302;633
90;302;500
90;603;598
45;603;-1
45;603;1214
45;905;1198
68;302;566
79;302;583
102;302;599
45;1207;1813
79;302;316
34;1207;1868
90;905;433
90;1207;833
102;302;438
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;15976
45;302;50
102;1207;516
57;603;416
79;1207;-1
79;1207;1581
57;1207;1281
68;905;1098
57;1207;1399
102;302;333
57;302;432
45;1207;1431
68;302;366
34;1207;1764
68;302;583
102;603;666
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;3045
57;302;183
79;302;397
45;302;631
90;1207;832
45;603;647
45;1207;549
45;603;416
68;905;366
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;7723
79;302;516
79;1207;-1
68;603;695
79;1207;1415
23;905;-1
23;905;6808
23;302;-1
23;302;-1
23;302;1248
68;1207;1381
68;302;733
57;905;833
34;1207;1698
45;905;616
34;302;583
79;1207;-1
90;302;349
79;1207;1299
23;603;846
90;905;816
68;905;865
45;302;283
90;302;200
34;302;167
34;1207;1698
45;905;616
90;603;315
45;603;-1
45;603;732
34;905;732
34;603;-1
34;603;-1
34;603;-1
34;603;849
34;1207;-1
34;1207;-1
102;1207;1564
45;302;349
57;1207;-1
57;1207;-1
57;1207;1478
34;603;1231
102;905;599
23;905;1481
68;905;682
23;905;1365
34;603;749
23;302;781
102;905;831
68;1207;-1
68;1207;1381
68;905;4445
68;603;-1
68;603;551
45;603;650
57;1207;947
102;603;-1
102;603;1864
57;905;-1
57;905;-1
57;905;1832
57;302;599
34;302;531
57;905;1132
34;302;483
102;302;433
57;1207;1232
90;302;200
102;302;118
34;603;1015
90;1207;465
79;603;316
79;905;515
102;905;604
102;603;266
23;302;550
34;905;-1
34;905;1197
90;603;433
34;302;234
68;1207;3977
23;603;-1
23;603;-1
23;603;5514
102;905;-1
102;905;1765
102;1207;832
45;905;981
79;603;499
34;905;1047
57;905;799
45;905;717
102;1207;749
34;905;-1
34;905;4094
90;1207;1331
23;302;-1
23;302;599
57;302;316
68;603;600
102;1207;1231
34;905;-1
34;905;-1
34;905;1464
23;302;832
79;603;564
79;905;815
68;1207;1348
90;603;266
23;603;782
102;603;282
34;603;-1
34;603;4280
79;603;781
57;603;466
57;603;533
79;603;516
23;603;799
79;905;514
23;603;510
79;905;732
79;905;1514
57;603;594
90;603;516
79;1207;-1
79;1207;898
57;603;882
79;1207;1266
