width;length;MT
79;302;217
68;302;150
68;905;350
90;1207;-1
90;1207;1417
79;603;333
68;1207;866
90;302;100
102;302;83
45;1207;1517
68;603;367
34;1207;2001
79;905;633
90;1207;500
102;603;-1
102;603;200
34;1207;2167
79;905;817
45;905;1517
45;905;1100
102;603;283
90;302;100
34;603;1417
79;905;900
79;302;150
45;302;200
23;302;1167
79;302;217
23;603;2417
68;603;450
23;1207;4185
79;302;150
68;905;1034
45;603;350
79;905;467
34;905;1317
45;603;417
34;1207;1734
90;905;317
57;1207;1067
102;905;283
102;603;133
90;1207;867
90;603;250
34;603;1267
45;603;250
45;905;1217
90;603;167
34;1207;-1
34;1207;3184
102;905;267
34;603;-1
34;603;1184
34;905;1450
23;1207;3118
79;905;334
34;302;267
90;603;267
90;302;117
23;1207;-1
23;1207;2418
23;603;1384
57;603;217
23;302;667
102;603;233
68;302;150
102;905;317
68;302;117
57;302;100
90;1207;567
68;905;384
23;905;2568
102;905;250
45;302;150
34;1207;1634
68;302;117
79;302;100
90;1207;867
57;905;767
90;905;267
57;603;250
57;302;200
79;1207;-1
79;1207;583
34;603;1067
90;302;100
90;603;284
57;1207;1000
34;905;1185
23;302;-1
23;302;567
79;1207;800
57;1207;867
68;1207;767
45;1207;-1
45;1207;1384
34;603;1167
57;1207;1000
45;603;617
102;1207;567
23;302;750
102;603;217
90;905;333
57;302;133
45;905;817
79;1207;567
90;302;67
34;302;217
68;905;467
68;603;217
90;905;300
23;603;1084
102;1207;267
23;302;-1
23;302;567
68;603;233
68;603;183
102;302;83
45;603;717
57;302;167
34;302;300
23;603;1650
102;302;84
34;302;650
57;302;200
57;603;634
45;905;1517
34;302;483
90;905;850
57;1207;1417
90;603;200
68;302;150
23;905;2234
102;302;117
23;905;1734
57;603;500
23;603;1234
102;905;367
102;302;67
57;905;817
45;1207;1734
79;1207;684
57;603;368
23;905;2134
34;905;1351
102;1207;917
102;1207;667
102;1207;550
45;302;167
45;1207;1317
68;905;450
34;905;1067
45;302;133
68;1207;667
68;1207;700
79;603;234
45;1207;-1
45;1207;1367
45;302;200
57;905;633
68;1207;767
23;905;-1
23;905;2451
23;1207;3385
79;1207;784
57;905;500
57;905;467
79;603;250
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;2818
79;603;234
79;603;150
