width;length;MT
68;905;4566
34;302;1162
34;1207;-1
34;1207;-1
34;1207;13109
57;302;-1
57;302;1190
79;302;390
34;1207;13218
79;1207;-1
79;1207;5951
79;905;2372
90;603;712
90;302;293
90;905;1361
79;603;433
23;603;-1
23;603;7967
34;1207;10679
90;905;1456
57;1207;1721
23;603;12507
79;905;3378
57;905;2834
23;603;-1
23;603;11198
79;1207;-1
79;1207;5229
68;603;706
57;1207;6556
34;302;-1
34;302;2677
90;603;960
45;302;341
79;905;-1
79;905;-1
79;905;3159
79;1207;5037
68;302;397
102;603;621
34;905;16252
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;-1
23;603;11546
102;1207;2457
102;302;155
68;1207;4271
90;302;172
34;1207;5733
79;603;-1
79;603;-1
79;603;-1
79;603;1577
45;302;300
45;603;-1
45;603;3483
68;603;1388
57;603;2685
23;302;2564
102;302;204
79;905;1829
79;1207;2693
90;603;355
102;1207;1632
34;905;-1
34;905;6786
79;302;125
34;603;-1
34;603;3400
79;603;1065
57;302;430
23;1207;-1
23;1207;14048
90;1207;2374
102;1207;1782
45;603;1378
23;905;5943
90;603;324
23;603;3113
57;1207;5165
79;302;249
57;905;2108
57;1207;3879
90;603;-1
90;603;2608
57;302;-1
57;302;1970
68;905;-1
68;905;2592
57;603;2698
57;905;2675
57;603;2262
90;905;1384
34;905;5719
79;603;358
45;905;2695
45;603;557
79;905;1054
23;1207;-1
23;1207;-1
23;1207;15658
57;1207;-1
57;1207;6169
45;302;-1
45;302;-1
45;302;2491
57;302;639
102;1207;3315
90;905;793
79;302;153
102;603;372
23;302;3195
45;603;-1
45;603;3629
57;905;3472
45;603;-1
45;603;4739
90;1207;2014
102;603;-1
102;603;946
102;1207;-1
102;1207;2736
45;905;4029
68;905;1364
68;905;2324
90;905;910
68;905;947
45;905;-1
45;905;2013
34;302;558
23;302;1285
68;603;-1
68;603;1392
57;603;1026
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;5499
23;905;-1
23;905;-1
23;905;11870
102;302;628
34;1207;7948
34;302;3657
79;302;682
102;603;794
102;603;370
45;905;2951
79;1207;1817
90;1207;1707
34;302;445
57;905;1155
68;302;110
23;302;1640
23;302;-1
23;302;-1
23;302;2046
45;1207;2928
68;302;169
34;905;2321
102;302;93
57;302;279
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;10439
45;1207;3431
23;905;6033
45;1207;4293
68;603;-1
68;603;1331
45;302;276
34;603;1033
45;302;314
45;905;1688
90;1207;1936
68;302;344
68;603;806
23;905;4773
102;905;448
57;603;335
68;302;144
102;905;527
90;1207;744
34;603;421
68;1207;757
102;905;293
34;905;527
23;905;839
102;905;512
102;905;451
90;302;83
79;603;345
45;1207;5571
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;17113
34;603;789
34;603;-1
34;603;-1
34;603;4370
90;302;279
102;302;264
23;1207;16050
90;302;182
68;1207;4694
68;1207;1871
68;1207;2079
