width;length;MT
102;1207;-1
102;1207;-1
102;1207;5652
90;1207;-1
90;1207;-1
90;1207;-1
90;1207;-1
90;1207;9016
34;302;-1
34;302;-1
34;302;-1
34;302;2037
102;302;378
90;1207;4126
23;302;6908
23;1207;-1
23;1207;-1
79;1207;-1
23;1207;13405
79;1207;5049
57;302;-1
57;302;1338
102;905;2359
23;1207;-1
90;905;-1
23;1207;19420
90;905;2093
34;302;1948
23;302;-1
23;302;1973
68;1207;2561
45;603;1337
45;905;2047
79;1207;2001
79;302;606
34;1207;-1
34;1207;6702
57;603;2006
34;1207;6454
90;302;976
102;1207;1617
79;1207;1985
90;302;786
79;905;1686
90;302;594
34;302;1529
90;603;2004
57;302;1204
23;603;9668
68;302;832
90;905;1189
79;302;512
57;603;-1
57;603;1742
23;1207;-1
23;1207;15849
57;905;-1
57;905;1937
57;302;958
68;905;2244
102;302;859
57;603;872
102;905;1601
23;905;7616
23;905;5853
79;1207;1788
34;302;1006
90;1207;1754
79;302;376
23;603;3771
57;905;1069
79;1207;1813
45;905;858
34;1207;3264
102;302;87
102;905;832
102;905;439
102;302;214
45;302;119
45;603;1334
23;1207;1948
68;603;247
34;1207;933
57;1207;-1
57;1207;-1
57;1207;-1
57;1207;3678
45;603;-1
45;603;-1
45;603;-1
45;603;3418
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;20144
102;1207;-1
102;1207;1541
57;302;-1
57;302;766
68;302;399
79;603;892
34;905;3736
57;603;582
57;905;-1
57;905;1526
57;905;1376
102;603;238
57;1207;3693
68;302;36
102;905;754
45;1207;2125
90;302;145
102;1207;1242
34;603;874
23;603;32
90;905;-1
90;905;317
102;1207;-1
102;1207;1672
79;603;440
90;603;643
57;1207;1162
90;905;178
34;905;-1
34;905;3922
45;302;532
68;603;604
45;905;810
68;603;259
45;603;275
34;1207;-1
34;1207;-1
34;1207;7908
57;302;-1
57;302;406
45;905;903
23;603;-1
23;603;-1
23;603;2296
23;603;-1
23;603;2326
57;905;-1
57;905;1935
90;905;414
102;302;137
57;1207;3849
90;603;749
45;1207;-1
45;1207;4027
57;1207;3036
34;302;288
79;302;230
79;302;508
79;603;408
90;302;397
34;603;-1
34;603;-1
34;603;-1
34;603;2802
90;1207;-1
90;1207;2288
90;1207;1300
68;603;771
57;603;936
45;302;-1
45;302;857
68;603;566
45;905;1040
45;1207;-1
45;1207;1825
34;905;2689
68;302;39
90;603;386
68;905;766
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;-1
45;1207;6100
45;302;-1
45;302;336
45;603;-1
45;603;-1
45;603;1218
68;1207;-1
68;1207;-1
68;1207;1839
68;1207;2514
79;905;-1
79;905;525
34;905;2765
23;302;485
79;603;477
68;302;352
23;905;-1
23;905;5728
34;905;693
79;905;-1
79;905;-1
79;905;-1
79;905;1874
34;603;-1
34;603;1649
23;302;-1
23;302;-1
23;302;1663
23;302;-1
23;302;1601
90;603;957
68;1207;1383
45;1207;3664
23;905;-1
23;905;-1
23;905;-1
23;905;5817
79;905;630
102;603;48
68;1207;-1
68;1207;2425
23;905;-1
23;905;3433
34;603;640
34;603;671
79;603;399
68;905;698
79;905;290
102;603;33
68;905;1749
45;302;71
102;603;980
102;603;537
68;905;1078
