width;length;MT
68;302;728
34;603;2656
23;302;1242
102;1207;1308
45;603;-1
45;603;1439
68;603;-1
68;603;2625
90;905;1238
90;302;291
68;603;621
79;905;1145
34;302;914
34;1207;16576
45;302;503
79;603;626
45;603;-1
45;603;1972
23;1207;-1
23;1207;19278
34;603;-1
34;603;2767
90;603;-1
90;603;-1
90;603;1366
57;302;-1
57;302;-1
57;302;93
57;905;-1
57;905;-1
57;905;-1
57;905;4410
34;603;1608
79;905;1601
102;302;243
79;1207;-1
79;1207;5155
90;302;216
45;302;446
34;905;1745
102;302;187
34;603;899
90;1207;1296
34;905;-1
34;905;-1
34;905;11704
68;302;557
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;23313
57;302;217
34;603;4062
45;1207;-1
45;1207;8571
90;302;216
23;905;13792
34;1207;-1
34;1207;10039
34;302;1201
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;27844
57;905;1286
90;302;250
23;1207;-1
23;1207;-1
23;1207;23202
23;905;-1
23;905;12641
57;603;-1
57;603;1781
45;1207;-1
45;1207;8436
23;302;1929
90;603;504
34;905;6040
34;302;1143
57;603;1793
90;302;386
79;1207;2525
34;905;5115
90;905;764
45;302;-1
45;302;466
102;302;247
90;905;867
90;905;-1
90;905;1772
102;905;1491
79;302;371
23;603;-1
23;603;-1
23;603;-1
23;603;10565
79;603;653
45;302;344
57;1207;-1
57;1207;7730
45;302;402
45;1207;6926
34;1207;16508
68;603;-1
68;603;3903
57;302;635
90;905;1110
79;302;189
45;603;2907
57;1207;4728
79;1207;1698
79;1207;1735
45;603;1116
57;1207;3595
102;302;293
79;603;599
102;905;694
34;1207;15735
102;905;1118
102;1207;1825
90;603;410
34;302;-1
34;302;618
68;302;605
45;1207;7536
68;302;306
79;905;636
34;302;-1
34;302;1375
68;905;1760
68;603;1453
79;905;1457
102;603;492
79;302;297
79;905;-1
79;905;5369
23;302;402
102;302;188
34;1207;-1
34;1207;12504
23;302;3426
68;905;1021
102;1207;-1
102;1207;4319
57;905;-1
57;905;3632
79;603;949
57;905;1499
102;905;857
68;1207;1646
90;1207;1652
102;905;508
68;905;1989
68;905;902
57;603;454
90;1207;1228
68;1207;2246
45;1207;3208
79;1207;-1
79;1207;-1
79;1207;5090
23;302;-1
23;302;3788
45;603;1677
79;302;185
57;302;326
68;603;1067
57;302;401
79;302;279
57;603;833
90;1207;1726
23;603;2036
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;-1
23;1207;13438
79;603;-1
79;603;1543
68;1207;2341
68;1207;1686
90;603;435
90;603;424
90;1207;915
23;603;2766
68;302;142
57;905;1846
68;905;1874
57;1207;4197
102;1207;1007
57;603;493
23;603;-1
23;603;-1
23;603;8009
45;905;5425
102;603;348
57;1207;1626
102;1207;1436
23;603;1023
68;1207;1349
45;905;1051
23;905;2393
34;905;1796
102;603;418
45;905;960
23;905;-1
23;905;4339
23;905;-1
23;905;-1
23;905;-1
23;905;8904
102;603;349
45;905;1353
102;603;372
45;905;-1
45;905;5867
