width;length;MT
102;1207;-1
102;1207;969
34;905;-1
34;905;2250
34;302;625
102;302;407
90;302;374
90;905;1469
45;1207;2218
90;905;678
102;905;905
102;1207;875
23;1207;3684
90;603;405
90;1207;1345
57;1207;1813
102;603;531
79;1207;1002
90;603;438
23;302;1156
90;302;311
68;603;688
57;302;313
23;1207;-1
23;1207;6500
34;603;-1
34;603;1188
45;905;1625
79;603;625
34;302;656
90;302;374
23;603;1094
57;603;593
23;603;1189
45;603;811
68;302;314
45;603;814
23;905;2000
23;302;467
79;302;220
90;905;749
102;603;251
34;302;468
45;603;625
102;603;470
45;1207;1439
79;603;343
23;302;532
102;1207;718
45;603;625
57;905;686
23;1207;2032
23;302;562
102;1207;593
102;302;253
68;603;407
23;905;1625
102;302;63
57;302;187
90;1207;592
68;1207;1408
79;905;406
90;905;530
102;1207;811
45;302;469
23;1207;1688
102;603;408
79;603;407
68;603;470
90;1207;814
102;302;157
23;603;875
57;905;625
102;905;595
68;302;155
45;302;159
45;302;155
34;603;500
34;603;501
90;905;625
79;1207;1155
34;302;250
79;1207;687
23;603;625
34;905;688
23;905;657
68;603;470
90;603;373
68;905;718
23;1207;937
57;905;904
102;905;749
79;905;562
79;905;562
57;905;1468
68;603;316
45;302;250
57;1207;750
79;1207;1532
90;302;125
79;1207;750
57;1207;813
23;603;437
79;905;-1
79;905;718
34;603;405
34;603;811
102;603;374
90;603;375
79;603;686
45;905;780
34;1207;906
102;302;63
57;302;186
45;603;407
23;302;326
68;1207;591
45;302;218
57;302;220
34;1207;843
79;905;845
57;905;812
57;603;345
34;1207;843
45;905;625
79;302;188
57;603;561
90;1207;782
90;1207;938
102;905;530
68;905;563
34;905;593
79;302;157
68;905;562
90;302;156
68;905;749
79;603;282
34;1207;1999
23;905;-1
23;905;1376
45;905;594
34;905;656
90;603;375
79;302;126
68;905;717
34;905;750
45;1207;2156
57;302;125
34;1207;1029
68;1207;811
45;1207;1844
57;1207;812
68;302;188
79;302;250
68;302;310
45;1207;531
23;905;657
34;302;155
68;302;187
57;603;282
68;1207;936
45;905;656
68;1207;2000
57;1207;594
57;603;314
102;905;593
