compensation;width;length;MT
100;79;905;-1
100;79;905;112
100;102;1207;-1
100;102;1207;-1
100;102;1207;-1
100;102;1207;-1
100;102;1207;-1
100;102;1207;-1
100;102;1207;368
100;34;302;224
100;79;603;115
100;68;905;-1
100;68;905;144
100;68;302;169
100;57;302;-1
100;57;302;86
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;194
100;34;603;-1
100;34;603;-1
100;34;603;227
100;34;302;-1
100;34;302;-1
100;34;302;142
100;102;603;87
100;57;905;198
0;79;302;-1
0;79;302;30
0;45;302;-1
0;45;302;27
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;198
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;309
0;68;905;-1
0;68;905;-1
0;68;905;-1
0;68;905;284
0;45;1207;-1
0;45;1207;-1
0;45;1207;430
0;45;1207;459
0;68;603;197
0;68;1207;406
0;90;603;171
0;45;905;-1
0;45;905;-1
0;45;905;509
0;57;603;114
100;102;905;199
100;34;905;-1
100;34;905;-1
100;34;905;-1
100;34;905;372
100;68;603;118
100;57;302;58
100;34;603;258
100;45;603;87
100;45;603;87
100;68;1207;345
100;102;302;114
100;79;1207;-1
100;79;1207;288
100;90;603;85
100;45;603;229
50;57;603;-1
50;57;603;-1
50;57;603;117
50;90;603;-1
50;90;603;115
50;102;905;400
50;90;603;225
50;45;1207;659
50;102;603;228
50;34;302;84
50;90;905;372
50;79;302;199
50;90;603;143
50;90;1207;486
50;90;302;145
100;90;905;-1
100;90;905;290
100;102;1207;234
100;90;905;234
100;57;603;116
100;34;905;-1
100;34;905;-1
100;34;905;60
100;90;302;-1
100;90;302;-1
100;90;302;116
100;34;603;117
100;79;302;57
100;34;302;-1
100;34;302;57
100;57;302;-1
100;57;302;29
100;102;302;84
100;68;905;144
67;45;302;-1
67;45;302;29
67;102;302;29
67;68;302;29
67;79;1207;347
67;45;1207;-1
67;45;1207;-1
67;45;1207;529
67;79;1207;584
67;90;603;88
67;68;302;146
67;45;302;28
67;34;905;-1
67;34;905;208
67;90;905;87
67;57;302;89
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;2322
0;34;302;-1
0;34;302;-1
0;34;302;420
0;68;302;149
0;34;603;-1
0;34;603;-1
0;34;603;-1
0;34;603;810
0;57;905;563
0;102;1207;541
0;90;302;147
0;45;302;62
0;102;302;89
0;102;1207;672
0;90;603;301
0;68;1207;534
50;79;1207;177
