compensation;width;length;MT
0;102;905;-1
0;102;905;-1
0;102;905;299
0;68;603;-1
0;68;603;250
0;90;905;301
0;90;603;250
0;45;1207;751
0;45;905;651
0;57;603;517
0;79;603;-1
0;79;603;584
0;90;302;200
0;79;603;484
0;102;1207;451
0;90;302;262
100;68;1207;-1
100;68;1207;-1
100;68;1207;333
100;102;302;-1
100;102;302;17
100;90;905;150
100;45;302;100
100;45;1207;367
100;68;905;177
100;45;603;150
100;90;302;51
100;45;1207;317
100;79;905;267
100;90;905;183
100;102;1207;267
0;102;905;-1
0;102;905;200
0;57;1207;-1
0;57;1207;200
0;68;603;-1
0;68;603;100
0;90;603;101
0;45;1207;333
0;57;1207;384
0;57;603;50
0;45;603;-1
0;45;603;49
0;34;603;-1
0;34;603;-1
0;34;603;134
0;102;302;17
0;68;1207;334
0;90;302;50
100;68;905;-1
100;68;905;267
100;34;302;67
100;57;302;17
100;45;1207;-1
100;45;1207;300
100;102;603;34
100;34;1207;267
100;79;1207;409
100;68;302;36
100;57;905;283
100;57;603;-1
100;57;603;-1
100;57;603;66
100;45;905;-1
100;45;905;150
100;68;603;99
33;57;905;98
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;312
33;102;603;71
33;57;1207;-1
33;57;1207;347
33;57;603;-1
33;57;603;176
33;68;905;-1
33;68;905;-1
33;68;905;302
33;34;1207;-1
33;34;1207;-1
33;34;1207;350
33;79;1207;221
33;90;905;70
33;90;1207;-1
33;90;1207;172
33;90;302;-1
33;90;302;18
33;45;1207;-1
33;45;1207;401
100;102;603;-1
100;102;603;71
100;34;603;-1
100;34;603;223
100;68;905;-1
100;68;905;142
100;45;302;-1
100;45;302;56
100;57;1207;-1
100;57;1207;158
100;90;1207;312
100;57;603;-1
100;57;603;-1
100;57;603;71
100;90;603;72
100;90;905;177
100;102;905;-1
100;102;905;271
100;90;603;177
100;68;603;164
33;45;1207;-1
33;45;1207;410
33;90;603;248
33;68;1207;700
33;57;905;543
33;102;905;210
33;102;905;310
33;90;1207;325
33;79;905;284
33;90;905;235
33;90;302;124
33;34;905;374
33;79;302;36
0;79;1207;-1
0;79;1207;147
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;553
0;102;905;120
0;57;905;274
0;90;905;361
0;34;603;-1
0;34;603;-1
0;34;603;341
0;57;1207;-1
0;57;1207;-1
0;57;1207;197
0;68;905;242
0;57;905;-1
0;57;905;-1
0;57;905;163
0;79;1207;-1
0;79;1207;129
0;68;603;36
0;57;905;126
33;79;1207;202
33;90;1207;423
33;45;1207;564
33;34;302;267
33;57;905;600
33;45;603;412
33;57;1207;-1
33;57;1207;507
33;90;302;267
33;102;1207;-1
33;102;1207;410
33;102;302;233
33;34;905;419
33;34;905;542
100;34;603;189
100;68;302;-1
100;68;302;38
100;102;302;100
100;57;603;384
100;34;1207;-1
100;34;1207;317
100;79;1207;602
100;57;905;326
100;102;302;168
100;45;905;289
100;79;905;301
100;68;302;-1
100;68;302;56
100;90;302;113
