compensation;width;length;MT
50;34;302;675
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;753
50;45;905;249
50;102;905;168
50;102;603;166
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;140
50;102;302;56
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;84
50;45;302;28
50;45;905;-1
50;45;905;195
50;90;1207;278
50;57;1207;198
100;90;302;54
100;79;603;167
100;68;603;-1
100;68;603;113
100;90;1207;-1
100;90;1207;-1
100;90;1207;31
100;79;1207;112
100;68;603;-1
100;68;603;56
100;79;603;55
100;90;603;27
100;79;905;111
100;57;905;-1
100;57;905;84
100;79;302;55
100;34;302;-1
100;34;302;-1
100;34;302;-1
100;34;302;-1
100;34;302;312
33;68;905;140
33;102;302;-1
33;102;302;-1
33;102;302;-1
33;102;302;-1
33;102;302;166
33;68;603;-1
33;68;603;139
33;57;302;113
33;45;603;31
33;90;603;114
33;45;603;223
33;90;302;84
33;102;1207;445
33;57;302;111
33;79;603;27
33;90;905;308
67;34;302;-1
67;34;302;85
67;57;905;5434
67;79;905;6345
67;79;302;-1
67;79;302;1638
67;57;603;446
67;45;905;1054
67;45;302;81
67;34;302;1116
67;34;905;4205
67;102;603;172
67;68;603;532
67;90;1207;-1
67;90;1207;1172
50;45;302;140
50;45;905;-1
50;45;905;697
50;34;302;30
50;102;603;197
50;68;1207;1948
50;57;905;16859
50;68;302;-1
50;68;302;113
50;34;603;6812
50;90;302;110
50;102;1207;1266
50;90;905;1372
50;34;905;2930
100;79;905;-1
100;79;905;1048
100;102;603;226
100;68;603;-1
100;68;603;114
100;68;302;113
100;57;603;270
100;90;302;168
100;90;603;340
100;34;302;282
100;90;302;-1
100;90;302;29
100;45;1207;816
100;79;1207;-1
100;79;1207;1134
100;79;905;-1
100;79;905;561
67;102;302;28
67;45;302;281
67;34;1207;9290
67;57;1207;2533
67;45;905;-1
67;45;905;988
67;79;603;174
67;57;905;86
67;57;1207;524
67;57;1207;171
67;34;1207;3098
67;68;302;116
67;34;1207;-1
67;34;1207;-1
67;34;1207;6517
50;45;603;-1
50;45;603;454
50;68;905;-1
50;68;905;661
50;57;603;276
50;34;302;313
50;57;1207;-1
50;57;1207;1591
50;34;1207;3466
50;45;1207;1637
50;90;1207;1846
50;90;905;517
50;34;603;722
50;79;302;55
50;79;905;1233
33;68;302;405
33;79;302;115
33;68;1207;1574
33;45;302;116
33;57;603;200
33;90;603;316
33;45;603;289
33;45;1207;1708
33;68;905;5258
33;34;302;-1
33;34;302;-1
33;34;302;3130
33;34;1207;-1
33;34;1207;10260
33;79;302;232
0;79;1207;-1
0;79;1207;1707
0;68;603;406
0;79;905;1073
0;57;905;1702
0;79;1207;-1
0;79;1207;1856
0;90;603;958
0;68;603;551
0;68;1207;3010
0;79;1207;1018
0;79;603;606
0;79;603;349
0;90;302;116
67;68;302;-1
67;68;302;89
67;79;302;117
67;79;1207;1375
67;68;905;-1
67;68;905;936
67;57;905;407
67;34;302;118
67;90;1207;1024
67;90;905;672
67;45;302;176
67;45;1207;1342
67;57;603;234
67;79;302;87
50;57;905;1203
50;45;302;463
50;57;302;467
50;34;905;-1
50;34;905;2562
50;79;302;117
50;79;905;350
50;90;905;386
50;102;905;587
50;57;905;354
50;34;905;951
50;57;1207;-1
50;57;1207;1856
50;45;1207;1514
0;57;1207;-1
0;57;1207;2177
0;45;302;87
0;57;603;283
