compensation;width;length;MT
33;79;1207;329
33;79;603;421
33;57;905;242
33;102;1207;851
67;90;603;113
67;68;905;592
67;57;302;91
67;102;905;302
67;102;1207;602
67;68;905;390
67;45;1207;332
67;79;603;272
67;102;603;90
67;57;302;150
67;102;905;184
67;102;302;122
100;79;1207;705
100;57;302;110
100;90;603;66
100;68;1207;871
100;79;905;240
100;34;302;62
100;34;302;151
100;68;302;414
100;68;905;304
100;45;905;599
100;79;603;215
100;79;1207;979
50;102;603;449
50;45;603;270
50;57;603;180
50;68;905;-1
50;68;905;755
50;90;603;336
50;79;302;151
50;90;302;125
50;57;905;-1
50;57;905;827
50;102;603;150
50;90;905;452
50;79;905;269
50;79;1207;791
67;79;905;597
67;34;1207;1453
67;79;302;336
67;79;302;88
67;34;1207;-1
67;34;1207;-1
67;34;1207;-1
67;34;1207;3698
67;79;1207;962
67;102;603;825
67;57;302;121
67;79;1207;1277
67;57;603;729
67;68;302;714
67;90;905;918
100;90;905;647
100;102;905;670
100;57;603;155
100;57;603;544
100;79;905;298
100;68;905;962
100;68;905;512
100;90;905;-1
100;90;905;480
100;90;905;-1
100;90;905;-1
100;90;905;866
100;57;603;-1
100;57;603;538
100;57;302;640
100;90;302;118
50;45;1207;1185
50;102;905;423
50;57;603;148
50;90;905;396
50;45;603;665
50;57;905;274
50;90;302;63
50;45;302;212
50;90;603;122
50;57;302;122
50;102;1207;366
50;45;603;393
0;68;1207;-1
0;68;1207;969
0;90;302;210
0;45;302;31
0;79;1207;-1
0;79;1207;1083
0;68;603;272
0;34;1207;1231
0;102;905;850
0;102;1207;939
0;79;302;150
0;79;1207;1647
0;68;302;118
0;102;302;188
67;79;603;706
67;79;905;485
67;102;302;152
67;57;905;653
67;79;905;567
67;45;603;298
67;102;1207;615
67;68;302;239
67;90;905;364
67;90;905;498
67;102;302;450
67;79;603;395
0;57;905;603
0;45;1207;601
0;45;1207;302
0;45;302;364
0;45;1207;369
0;57;302;269
0;57;905;603
0;68;905;657
0;79;1207;1056
0;79;302;250
0;34;905;151
0;90;302;332
50;68;302;86
50;102;905;535
50;45;905;448
50;45;1207;-1
50;45;1207;1177
50;102;905;695
50;68;302;215
50;57;1207;1057
50;45;905;479
50;79;905;334
50;45;905;-1
50;45;905;766
50;79;905;794
50;79;302;241
0;68;905;1011
0;34;603;-1
0;34;603;1096
0;34;603;612
0;68;1207;1026
0;34;905;995
0;57;603;521
0;57;302;371
0;57;302;459
0;90;603;214
0;102;603;430
0;45;603;336
0;45;905;669
0;90;603;336
0;45;905;421
0;79;905;423
0;90;1207;704
0;90;1207;545
0;68;603;-1
0;68;603;223
0;68;302;150
0;102;603;305
0;57;603;302
0;79;603;-1
0;79;603;334
0;79;603;423
0;79;603;302
