compensation;width;length;MT
0;90;905;3052
0;57;603;2682
0;57;905;3366
0;34;905;-1
0;34;905;-1
0;34;905;10108
0;102;905;1356
0;57;1207;5581
0;68;302;-1
0;68;302;-1
0;68;302;443
0;45;603;3782
0;90;603;1785
0;68;1207;5827
0;102;603;-1
0;102;603;2120
0;57;603;3474
67;79;1207;-1
67;79;1207;4107
67;45;905;4973
67;90;905;3945
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;7586
67;34;603;5149
67;102;603;2204
67;90;603;2220
67;57;302;1614
67;90;905;-1
67;90;905;3222
67;45;302;3028
67;45;905;5834
67;57;603;-1
67;57;603;-1
67;57;603;3433
100;68;905;3180
100;68;905;3243
100;79;905;-1
100;79;905;3518
100;90;1207;3994
100;45;1207;-1
100;45;1207;9894
100;102;905;3228
100;68;603;2850
100;90;603;-1
100;90;603;1820
100;102;603;1426
100;79;1207;-1
100;79;1207;3874
100;57;603;1599
100;79;603;-1
100;79;603;2042
33;102;905;1729
33;34;302;-1
33;34;302;-1
33;34;302;-1
33;34;302;4206
33;34;302;3418
33;102;302;992
33;90;905;3137
33;90;1207;-1
33;90;1207;3706
33;57;302;-1
33;57;302;1047
33;90;1207;4270
33;90;603;2404
33;90;1207;-1
33;90;1207;-1
33;90;1207;4481
33;102;603;-1
33;102;603;-1
33;102;603;-1
33;102;603;-1
33;102;603;2269
33;90;302;1293
50;57;302;2024
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;9057
50;79;1207;3740
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;6840
50;34;905;8880
50;57;905;-1
50;57;905;-1
50;57;905;-1
