compensation;width;length;MT
33;57;905;212
33;90;1207;-1
33;90;1207;353
33;90;603;-1
33;90;603;-1
33;90;603;53
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;54
33;45;905;-1
33;45;905;-1
33;45;905;70
33;102;905;-1
33;102;905;105
33;79;302;17
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;87
33;90;1207;70
33;102;905;35
33;102;302;18
33;68;1207;505
100;57;1207;69
100;79;302;34
100;79;905;53
100;45;302;17
100;90;603;139
100;45;302;19
100;45;603;70
100;34;302;17
100;79;603;-1
100;79;603;49
100;34;302;18
100;90;905;-1
100;90;905;-1
100;90;905;139
100;90;1207;70
67;79;905;88
67;34;1207;-1
67;34;1207;-1
67;34;1207;-1
67;34;1207;88
67;102;603;35
67;57;905;70
67;102;603;17
67;57;905;70
67;90;905;52
67;90;302;35
67;68;1207;217
67;34;905;83
67;90;905;-1
67;90;905;-1
67;90;905;-1
67;90;905;52
67;102;905;34
0;57;603;71
0;102;302;17
0;102;302;35
0;68;1207;69
0;34;905;244
0;90;603;64
0;57;1207;87
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;142
0;79;302;34
0;90;302;87
0;57;1207;107
0;68;302;35
67;102;603;70
67;90;1207;-1
67;90;1207;175
67;68;302;35
67;57;302;17
67;45;302;53
67;102;302;35
67;79;905;106
67;79;603;157
67;57;905;245
67;68;302;35
67;45;603;140
67;90;905;175
100;102;302;35
100;68;603;53
100;57;603;18
100;34;603;105
100;57;905;-1
100;57;905;246
100;45;905;200
100;45;302;68
100;102;905;280
100;79;603;173
100;102;1207;117
100;45;905;-1
100;45;905;299
100;45;603;70
50;45;905;-1
50;45;905;90
50;90;603;35
50;68;603;122
50;90;302;34
50;68;603;69
50;34;302;35
50;102;905;70
50;57;905;159
50;45;905;208
50;45;1207;230
50;68;1207;54
50;79;603;70
33;68;302;-1
33;68;302;35
33;102;1207;314
33;90;905;70
33;79;905;125
33;79;1207;158
33;68;603;54
33;90;302;18
33;34;905;71
33;90;603;66
33;102;905;142
33;45;603;34
33;68;905;139
50;102;1207;86
50;34;302;17
50;90;603;140
50;45;1207;124
50;90;603;35
50;79;302;71
50;68;905;160
50;68;1207;108
50;57;905;69
50;34;1207;268
50;57;302;19
50;90;302;53
100;90;1207;-1
100;90;1207;70
100;34;1207;71
100;79;1207;284
100;34;302;-1
100;34;302;36
100;102;1207;71
100;68;1207;141
100;79;1207;-1
100;79;1207;53
100;90;905;89
100;79;302;35
100;68;603;227
100;90;603;36
100;34;1207;-1
100;34;1207;104
33;102;302;19
33;57;603;105
33;102;302;19
33;68;1207;-1
33;68;1207;102
33;34;905;87
33;34;302;17
33;79;905;-1
33;79;905;87
33;68;603;90
33;45;603;53
33;90;603;35
33;57;1207;90
33;45;1207;35
50;90;905;54
50;68;302;36
50;57;905;161
50;79;1207;179
50;79;302;17
50;79;1207;358
50;79;603;37
50;90;1207;127
50;57;603;54
50;34;905;144
50;90;905;252
50;57;1207;264
67;57;302;37
67;79;1207;160
67;34;905;-1
67;34;905;-1
67;34;905;53
67;34;302;36
67;34;1207;160
67;79;302;35
67;34;603;54
67;45;603;38
67;34;1207;287
67;79;905;107
67;45;603;53
67;45;905;90
33;90;905;73
33;34;302;191
33;90;905;84
33;79;603;106
33;68;1207;200
33;90;302;35
33;90;302;36
33;45;1207;280
33;79;1207;122
33;102;1207;311
33;45;302;38
33;68;905;253
67;68;905;-1
67;68;905;202
67;34;603;-1
67;34;603;-1
67;34;603;-1
67;34;603;144
67;102;302;54
67;68;905;-1
67;68;905;75
67;68;905;90
67;57;1207;126
67;102;1207;199
67;90;603;108
67;102;905;-1
67;102;905;54
67;102;1207;74
67;90;1207;90
67;79;1207;110
50;68;905;-1
50;68;905;-1
50;68;905;69
50;68;1207;128
50;102;302;35
50;79;1207;128
50;90;1207;285
50;45;302;-1
50;45;302;37
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;106
50;57;302;36
50;57;603;35
50;90;302;35
50;102;302;20
50;79;905;37
33;79;905;54
33;57;302;35
33;34;302;19
33;45;603;125
33;79;1207;-1
33;79;1207;-1
33;79;1207;182
33;68;302;19
33;34;603;178
33;57;1207;127
33;45;302;-1
33;45;302;18
33;90;1207;107
33;45;302;72
33;57;603;73
50;79;905;250
50;45;1207;-1
50;45;1207;200
