compensation;width;length;MT
0;90;603;321
0;79;1207;724
0;45;302;-1
0;45;302;231
0;68;302;84
0;57;302;115
0;45;1207;-1
0;45;1207;837
0;90;603;142
0;90;302;114
0;45;603;435
0;57;603;318
0;102;1207;922
0;102;905;433
67;79;302;-1
67;79;302;312
67;57;905;545
67;34;603;-1
67;34;603;428
67;57;302;287
67;45;1207;684
67;68;603;604
67;102;1207;405
67;90;905;515
67;102;1207;518
67;90;905;466
67;45;1207;747
67;68;603;203
0;45;603;56
0;90;1207;370
0;45;905;752
0;90;1207;542
0;68;1207;552
0;90;905;343
0;57;302;-1
0;57;302;56
0;102;302;170
0;90;603;402
0;102;905;580
0;90;1207;464
0;102;1207;521
67;79;603;261
67;90;603;61
67;45;1207;613
67;57;905;406
67;57;905;347
67;68;1207;-1
67;68;1207;549
67;34;302;56
67;102;302;117
67;68;1207;434
67;102;905;385
67;90;1207;290
67;68;302;115
33;68;1207;466
33;34;1207;558
33;79;905;411
33;57;603;177
33;45;1207;552
33;90;302;28
33;34;905;482
33;45;603;552
33;57;302;201
33;45;1207;697
33;68;603;431
33;68;302;204
0;79;1207;351
0;45;1207;-1
0;45;1207;-1
0;45;1207;672
0;57;302;117
0;57;1207;-1
0;57;1207;906
0;45;603;-1
0;45;603;519
0;45;905;471
0;68;1207;-1
0;68;1207;698
0;45;302;173
0;90;302;263
0;102;302;247
0;90;302;85
0;102;905;583
100;68;905;-1
100;68;905;443
100;68;603;234
100;102;905;264
100;90;905;441
100;102;603;267
100;102;603;118
100;34;603;265
100;102;905;265
100;102;302;28
100;57;302;350
100;102;603;235
100;68;1207;-1
100;68;1207;-1
100;68;1207;587
