compensation;width;length;MT
50;79;1207;2800
50;90;905;1319
50;45;905;-1
50;45;905;2524
50;79;1207;2248
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;5544
50;34;603;-1
50;34;603;-1
50;34;603;1472
50;68;1207;-1
50;68;1207;1280
50;102;1207;-1
50;102;1207;-1
50;102;1207;-1
50;102;1207;1019
50;57;603;700
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;1964
50;45;1207;1596
50;57;603;422
100;79;905;792
100;68;302;141
100;102;302;166
100;57;905;1085
100;79;905;113
100;90;603;174
100;34;1207;423
100;57;1207;-1
100;57;1207;195
100;90;1207;255
100;68;1207;226
100;68;603;113
100;68;905;-1
100;68;905;228
0;68;1207;-1
0;68;1207;-1
0;68;1207;-1
0;68;1207;-1
0;68;1207;819
0;102;302;282
0;68;1207;-1
0;68;1207;1404
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;598
0;68;905;-1
0;68;905;-1
0;68;905;-1
0;68;905;-1
0;68;905;1017
0;57;905;993
0;102;1207;1020
0;45;603;480
0;57;1207;-1
0;57;1207;1071
0;102;603;226
0;45;603;511
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;484
67;68;1207;-1
67;68;1207;-1
67;68;1207;-1
67;68;1207;1763
67;102;1207;1197
67;68;603;402
67;79;905;882
67;34;302;85
67;79;603;115
67;57;603;85
67;45;905;287
67;57;1207;283
67;57;905;-1
67;57;905;314
67;45;603;258
67;102;603;-1
67;102;603;993
50;102;905;491
50;102;1207;693
50;90;1207;661
50;102;905;-1
50;102;905;332
50;79;302;114
50;45;905;289
50;102;302;28
50;90;603;-1
50;90;603;57
50;57;603;86
50;68;603;88
50;57;1207;317
50;68;1207;116
33;90;302;198
33;90;603;-1
33;90;603;-1
33;90;603;234
33;57;603;201
33;102;1207;576
33;45;302;-1
33;45;302;212
33;34;302;206
33;68;1207;351
33;57;302;90
33;90;603;176
33;79;1207;380
33;68;1207;289
33;34;905;56
50;102;302;116
50;102;905;177
50;34;1207;1617
50;90;1207;262
50;68;905;200
50;68;905;234
50;102;1207;143
50;45;905;352
50;57;302;58
50;45;302;58
50;68;603;114
50;90;1207;229
33;90;1207;498
33;90;302;84
33;68;302;56
33;68;1207;380
33;57;603;129
33;102;905;531
33;102;1207;466
33;90;1207;410
33;45;603;266
33;34;1207;700
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;527
33;45;603;290
0;45;603;587
0;102;905;263
0;57;905;411
0;79;603;234
0;102;905;353
0;102;1207;378
0;68;603;234
0;90;1207;-1
0;90;1207;327
0;79;1207;568
0;102;603;232
0;68;603;236
0;90;603;178
50;34;1207;-1
50;34;1207;-1
50;34;1207;522
50;34;905;-1
50;34;905;266
50;57;905;145
50;57;302;61
50;68;302;91
50;102;603;90
50;68;603;92
50;68;302;30
50;45;1207;265
50;45;302;29
50;90;603;1670
50;90;905;87
0;57;603;-1
0;57;603;266
0;90;1207;236
0;45;1207;443
0;68;1207;179
0;45;1207;-1
0;45;1207;239
0;79;603;88
0;102;603;-1
0;102;603;236
0;79;905;237
0;34;905;387
0;102;302;31
0;34;603;358
0;45;905;189
67;79;905;402
67;68;1207;537
67;79;905;206
67;102;1207;-1
67;102;1207;241
67;90;1207;172
67;34;302;57
67;68;603;57
67;90;302;28
67;45;603;178
67;45;1207;-1
67;45;1207;-1
67;45;1207;167
67;45;603;150
67;34;905;180
0;57;302;167
0;57;302;89
0;57;302;151
0;90;905;269
0;34;302;178
0;68;302;116
0;102;1207;297
0;90;603;183
0;45;1207;-1
0;45;1207;654
0;34;603;401
0;79;905;300
0;68;302;29
50;90;603;91
50;57;302;-1
50;57;302;120
50;45;603;150
50;79;603;208
50;45;302;-1
50;45;302;-1
50;45;302;211
50;68;905;226
50;45;1207;-1
50;45;1207;-1
50;45;1207;-1
50;45;1207;363
50;68;302;31
50;34;603;269
50;45;603;121
50;102;302;60
50;34;302;58
100;34;1207;635
100;68;302;62
100;68;905;573
100;79;1207;-1
100;79;1207;-1
100;79;1207;148
100;79;302;30
100;68;1207;150
100;102;302;31
100;90;1207;151
100;79;1207;32
100;79;905;58
100;34;302;149
100;45;302;88
67;68;603;85
67;57;1207;151
67;45;302;92
67;34;302;-1
67;34;302;-1
67;34;302;121
67;34;1207;115
67;68;302;29
67;57;905;61
67;90;302;29
67;102;302;58
67;34;905;122
67;102;905;88
67;90;1207;180
100;34;302;29
100;68;1207;118
100;34;1207;119
100;90;1207;152
100;102;603;86
100;68;302;91
100;57;603;122
100;45;905;162
100;102;302;390
100;57;302;85
100;102;603;29
100;57;1207;182
33;57;1207;224
33;90;603;109
33;34;905;-1
33;34;905;302
33;102;1207;336
33;34;603;365
33;79;1207;304
33;45;1207;391
33;34;302;113
33;79;603;331
33;57;603;244
33;45;302;479
33;68;603;484
67;57;302;-1
67;57;302;59
67;57;603;212
67;34;905;-1
67;34;905;-1
67;34;905;59
67;90;1207;363
67;90;905;-1
67;90;905;120
67;102;905;116
67;102;1207;121
67;45;302;55
67;57;905;120
67;68;302;30
67;68;1207;-1
67;68;1207;181
67;45;302;63
100;79;1207;121
100;79;603;29
100;68;905;391
100;57;302;61
100;90;905;152
100;45;603;32
100;45;302;29
100;45;603;90
100;45;1207;149
100;45;905;179
100;57;603;63
100;90;603;63
33;68;302;252
33;79;302;238
33;102;905;180
33;102;603;151
33;90;1207;810
33;102;603;120
33;68;603;119
33;45;302;29
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;420
33;45;1207;417
33;34;302;181
33;79;302;92
50;90;302;54
50;68;1207;198
50;102;603;83
50;79;1207;185
50;57;905;150
50;34;302;59
50;90;302;-1
50;90;302;121
50;57;1207;211
50;102;603;60
50;34;905;181
50;57;1207;390
50;34;302;114
67;90;905;141
67;102;603;83
67;79;603;59
67;57;302;59
67;102;603;30
67;102;302;60
67;79;302;60
67;57;603;89
67;102;905;93
67;57;1207;149
67;90;302;90
67;90;603;58
50;79;905;-1
50;79;905;120
50;79;603;93
50;79;603;59
50;34;905;153
50;90;905;119
50;90;302;29
50;79;302;30
50;45;603;59
50;79;905;1095
50;79;905;89
50;57;905;119
50;79;302;30
100;45;603;-1
100;45;603;-1
100;45;603;120
100;79;302;28
100;34;302;31
100;34;905;-1
100;34;905;242
100;90;302;30
100;90;905;87
100;57;603;-1
100;57;603;85
100;57;302;33
100;34;603;61
100;102;603;58
100;68;603;59
100;45;1207;92
33;34;1207;209
33;57;302;28
33;102;905;1847
33;102;302;87
33;102;603;90
33;79;302;33
33;68;905;-1
33;68;905;58
33;90;302;32
33;90;905;180
33;45;603;120
33;102;302;29
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;-1
33;90;905;123
0;45;302;83
0;79;905;-1
0;79;905;180
0;90;302;90
0;68;905;-1
0;68;905;251
0;79;1207;251
0;34;603;181
0;57;603;183
0;34;302;-1
0;34;302;-1
0;34;302;119
0;90;905;837
0;45;905;151
0;102;302;64
0;34;1207;243
67;79;603;121
67;79;302;59
67;45;905;121
67;45;905;268
67;90;603;91
67;102;302;28
67;34;603;91
67;57;302;33
67;79;1207;-1
67;79;1207;-1
67;79;1207;479
67;79;1207;183
67;68;905;62
67;90;603;60
0;79;302;59
0;79;1207;150
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;1906
0;68;603;58
0;34;905;-1
0;34;905;-1
0;34;905;270
0;90;603;149
0;79;603;-1
0;79;603;151
0;34;1207;-1
0;34;1207;-1
0;34;1207;476
0;57;603;273
0;34;905;243
0;68;302;92
0;90;905;212
67;34;1207;254
67;45;1207;211
67;45;1207;182
67;68;905;178
67;90;905;151
67;34;603;-1
67;34;603;88
67;79;302;802
67;34;603;150
67;68;302;62
67;34;1207;89
67;79;1207;-1
67;79;1207;113
67;68;905;60
0;68;905;-1
0;68;905;112
0;34;302;29
0;79;302;55
0;79;302;29
0;102;905;2131
0;90;302;30
0;45;302;30
0;45;302;1960
0;90;302;451
0;57;1207;394
0;57;1207;773
0;90;1207;329
33;57;302;56
33;102;302;58
33;79;603;61
33;79;1207;152
33;45;1207;151
33;79;905;88
33;68;302;30
33;79;603;55
33;57;905;-1
33;57;905;-1
33;57;905;179
33;45;905;211
33;68;603;122
33;45;905;179
100;90;302;57
100;90;905;142
100;34;603;-1
100;34;603;121
100;57;905;216
100;79;302;60
100;90;302;120
100;57;1207;1285
100;90;603;60
100;79;603;216
100;102;905;30
100;57;905;89
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;60
33;90;905;180
33;57;1207;208
33;45;905;-1
33;45;905;150
33;79;905;121
33;79;905;120
33;57;905;182
33;34;603;-1
33;34;603;181
33;57;1207;242
33;34;603;286
33;57;905;833
33;68;905;444
33;68;905;-1
33;68;905;195
100;68;603;89
100;34;603;91
100;79;603;61
100;102;905;28
100;34;905;150
100;45;905;59
100;102;905;92
100;45;302;29
100;34;905;-1
100;34;905;-1
100;34;905;150
100;102;1207;181
100;102;1207;123
100;102;1207;121
