compensation;width;length;MT
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;709
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;484
33;90;603;114
33;102;905;857
33;68;603;-1
33;68;603;312
33;68;603;401
33;90;603;256
33;45;302;200
33;90;603;488
33;45;603;-1
33;45;603;-1
33;45;603;451
33;68;302;144
33;68;603;513
50;68;302;274
50;68;603;370
50;102;905;767
50;79;603;230
50;102;1207;371
50;68;905;341
50;102;302;86
50;57;1207;-1
50;57;1207;-1
50;57;1207;369
50;45;905;347
50;79;905;377
50;57;302;117
50;34;1207;1150
100;79;905;-1
100;79;905;152
100;45;302;28
100;90;905;285
100;34;302;114
100;102;905;-1
100;102;905;-1
100;102;905;400
100;79;1207;-1
100;79;1207;509
100;68;905;-1
100;68;905;-1
100;68;905;116
100;45;905;30
100;90;603;86
100;102;1207;-1
100;102;1207;-1
100;102;1207;800
100;34;302;187
100;68;1207;431
50;57;905;872
50;90;603;377
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;6033
50;102;905;582
50;57;302;-1
50;57;302;115
50;34;603;319
50;45;603;263
50;79;905;404
50;102;603;176
50;34;1207;724
50;90;302;231
50;57;603;346
33;45;1207;-1
33;45;1207;-1
33;45;1207;1918
33;45;603;435
33;79;1207;919
33;102;905;726
33;45;905;923
33;57;603;377
33;45;1207;1069
33;79;1207;754
33;79;603;351
33;79;1207;-1
33;79;1207;1134
33;34;1207;1136
33;45;1207;-1
33;45;1207;1219
100;57;603;784
100;34;1207;3085
100;90;1207;906
100;90;302;87
100;79;905;758
100;79;905;-1
100;79;905;780
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;5583
100;57;905;-1
100;57;905;470
100;34;302;352
100;68;603;-1
100;68;603;261
100;90;1207;-1
100;90;1207;1370
100;45;905;-1
100;45;905;856
33;57;905;1274
33;57;905;816
33;79;905;440
33;102;1207;-1
33;102;1207;680
33;34;905;231
33;34;603;264
33;102;1207;-1
33;102;1207;819
33;57;905;-1
33;57;905;650
33;90;302;87
33;45;905;617
33;57;1207;-1
33;57;1207;2581
33;68;302;118
0;68;302;792
0;102;905;-1
0;102;905;326
0;57;1207;584
0;57;1207;537
0;45;1207;522
0;90;603;296
0;34;603;117
0;102;603;324
0;34;603;208
0;102;603;356
0;102;905;355
0;102;603;327
100;90;603;-1
100;90;603;-1
100;90;603;264
100;102;1207;715
100;57;603;545
100;68;302;265
100;102;603;353
100;102;905;-1
100;102;905;641
100;34;603;415
100;68;302;326
100;90;905;-1
100;90;905;497
100;57;302;89
100;68;1207;473
100;34;1207;929
67;45;1207;-1
67;45;1207;-1
67;45;1207;619
67;79;1207;-1
67;79;1207;414
67;90;302;60
67;90;603;268
67;79;1207;265
67;57;302;251
67;45;603;149
67;79;905;208
67;79;302;87
67;102;603;150
67;34;1207;2179
67;79;1207;388
100;102;905;686
100;79;1207;591
100;68;603;235
100;90;603;87
100;102;1207;-1
100;102;1207;892
100;79;1207;970
100;90;302;56
100;102;302;30
100;102;302;201
100;68;1207;973
100;102;603;517
100;68;603;316
50;34;302;-1
50;34;302;478
50;34;905;607
50;90;905;237
50;102;905;413
50;45;302;58
50;102;302;149
50;102;1207;1117
50;34;302;801
50;57;1207;921
50;102;603;270
50;79;1207;600
50;90;905;-1
50;90;905;766
67;57;603;575
67;45;905;394
67;45;603;362
67;68;905;149
67;57;603;208
67;90;603;155
67;68;905;659
67;68;905;-1
67;68;905;1076
67;57;1207;839
67;102;1207;839
67;102;603;453
67;57;603;-1
67;57;603;2391
100;90;302;468
100;68;302;240
100;90;1207;-1
100;90;1207;299
100;68;905;448
100;45;905;358
100;68;905;149
100;57;302;150
100;57;905;1327
100;57;302;-1
100;57;302;399
100;34;603;-1
100;34;603;-1
100;34;603;-1
100;34;603;-1
100;34;603;613
100;45;603;213
100;34;905;-1
100;34;905;6431
67;57;905;779
67;90;603;242
67;102;603;330
67;34;603;149
67;79;603;177
67;34;603;270
67;34;603;299
67;102;905;449
67;79;905;271
67;68;302;152
67;79;302;29
67;68;1207;-1
67;68;1207;1111
0;68;905;-1
0;68;905;-1
0;68;905;-1
0;68;905;-1
0;68;905;894
0;45;603;538
0;90;1207;420
0;57;302;481
0;68;905;629
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;8375
0;68;302;-1
0;68;302;169
0;57;1207;-1
0;57;1207;2484
0;34;905;1935
0;34;905;3621
0;68;905;1674
0;34;603;-1
0;34;603;3726
33;102;905;1180
33;45;302;533
33;68;302;182
33;79;905;897
33;57;603;684
33;34;302;604
33;45;302;151
33;57;603;301
33;45;905;1301
33;34;905;1649
33;68;905;1103
33;90;1207;1327
50;79;1207;-1
50;79;1207;1562
50;57;905;980
50;34;302;982
50;102;302;29
50;79;603;268
50;102;1207;1694
50;45;905;1341
50;68;603;830
50;90;603;420
50;90;905;1049
50;57;1207;2137
50;57;302;931
33;102;603;1334
33;57;1207;-1
33;57;1207;-1
33;57;1207;-1
33;57;1207;-1
33;57;1207;-1
33;57;1207;624
33;57;302;153
33;45;603;148
33;57;302;180
33;68;905;659
33;68;905;627
33;34;302;149
33;79;603;-1
33;79;603;514
33;102;302;298
33;79;603;480
33;79;302;93
50;45;1207;-1
50;45;1207;-1
50;45;1207;1623
50;79;603;448
50;102;603;219
50;45;302;-1
50;45;302;149
50;45;603;-1
50;45;603;-1
50;45;603;844
50;45;603;-1
50;45;603;318
50;57;603;445
50;79;905;543
50;79;302;597
50;68;1207;3677
50;57;603;1128
50;45;905;3033
33;102;302;-1
33;102;302;289
33;34;905;752
33;90;905;236
33;34;1207;1017
33;34;1207;-1
33;34;1207;-1
33;34;1207;-1
33;34;1207;3510
33;90;905;696
33;34;302;-1
33;34;302;143
33;90;1207;1053
33;68;1207;749
33;102;1207;1022
33;68;1207;1056
33;90;905;792
100;102;603;402
100;57;905;-1
100;57;905;1151
100;57;603;-1
100;57;603;1016
100;45;302;153
100;90;905;-1
100;90;905;1250
100;57;1207;843
100;102;302;-1
100;102;302;33
100;34;603;1526
100;45;603;1652
100;79;302;448
100;79;302;241
100;45;603;-1
100;45;603;-1
100;45;603;1289
50;90;603;605
50;79;1207;725
50;68;1207;483
50;57;905;248
50;68;1207;837
50;34;905;539
50;45;302;61
50;68;603;88
50;45;1207;941
50;34;905;757
50;68;302;600
50;45;1207;-1
50;45;1207;1675
100;57;1207;1562
100;45;1207;1161
100;34;905;991
100;57;1207;845
100;45;1207;597
100;45;1207;1260
100;79;603;752
100;79;302;566
100;34;905;1168
100;79;603;721
100;79;603;391
100;45;302;149
33;68;1207;1970
