compensation;width;length;MT
33;45;1207;-1
33;45;1207;123
33;45;905;-1
33;45;905;-1
33;45;905;91
33;34;302;89
33;57;905;86
33;90;302;59
33;57;905;58
33;68;905;90
0;90;1207;-1
0;90;1207;-1
0;90;1207;91
0;68;905;624
0;90;1207;152
0;79;302;30
0;102;905;63
0;57;302;168
0;68;1207;241
0;45;905;-1
0;45;905;30
0;57;905;210
0;34;1207;-1
0;34;1207;152
0;68;905;29
0;57;302;4288
100;90;905;-1
100;90;905;170
100;102;905;60
100;102;1207;148
100;90;603;90
100;90;603;64
100;90;603;71
100;79;603;-1
100;79;603;93
100;90;1207;211
100;90;905;92
100;45;302;64
100;102;905;157
100;79;1207;-1
100;79;1207;122
67;57;302;33
67;90;905;96
67;57;905;101
67;34;302;31
67;79;1207;133
67;79;905;93
67;68;905;111
67;68;603;71
67;34;302;33
67;79;1207;99
67;34;1207;134
67;90;603;86
0;79;603;93
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;-1
0;45;905;90
0;79;1207;273
0;57;603;-1
0;57;603;92
0;68;603;-1
0;68;603;91
0;34;905;-1
0;34;905;93
0;79;905;184
0;45;905;123
0;45;302;-1
0;45;302;644
0;45;1207;-1
0;45;1207;-1
0;45;1207;152
0;79;603;91
0;57;1207;243
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;152
50;90;905;90
50;45;905;153
50;68;302;59
50;68;1207;-1
50;68;1207;121
50;79;1207;123
50;57;603;124
50;102;905;95
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;93
50;102;905;-1
50;102;905;89
50;102;905;154
50;45;905;151
33;45;603;151
33;34;302;93
33;102;302;31
33;57;302;60
33;34;302;29
33;57;302;33
33;34;603;-1
33;34;603;92
33;90;603;61
33;57;302;63
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;75
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;-1
33;34;603;94
33;79;905;-1
33;79;905;-1
33;79;905;-1
33;79;905;-1
33;79;905;123
0;102;1207;184
0;57;603;-1
0;57;603;28
0;34;302;-1
0;34;302;29
0;102;1207;185
0;79;1207;91
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;522
0;57;905;-1
0;57;905;-1
