compensation;width;length;MT
100;57;603;-1
100;57;603;202
100;45;905;-1
100;45;905;-1
100;45;905;317
100;90;905;117
100;57;1207;282
100;45;905;-1
100;45;905;-1
100;45;905;114
100;68;603;86
100;102;603;86
100;45;905;-1
100;45;905;-1
100;45;905;-1
100;45;905;363
100;90;302;56
100;57;603;368
100;34;905;482
100;34;603;-1
100;34;603;27
50;34;905;1328
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;253
50;57;302;56
50;79;302;141
50;45;905;337
50;102;905;420
50;68;302;167
50;45;603;452
50;68;1207;-1
50;68;1207;334
50;90;905;539
50;45;603;87
50;79;302;112
67;102;603;86
67;45;302;56
67;34;1207;111
67;102;905;-1
67;102;905;227
67;79;302;86
67;79;1207;481
67;34;905;179
67;102;603;253
67;102;1207;114
67;90;1207;649
67;90;1207;813
67;68;905;422
0;102;1207;676
0;68;1207;454
0;90;302;55
0;90;302;56
0;68;603;116
0;34;1207;341
0;102;302;87
0;68;1207;-1
0;68;1207;343
0;68;1207;338
0;102;1207;413
0;102;603;115
0;90;905;255
33;79;603;255
33;34;603;-1
33;34;603;-1
33;34;603;84
33;68;1207;197
33;45;603;141
33;79;1207;311
33;34;905;169
33;45;603;220
33;57;302;141
33;68;302;86
33;45;302;113
33;102;603;114
33;34;302;172
67;34;1207;-1
67;34;1207;-1
67;34;1207;285
67;79;603;158
67;102;302;-1
67;102;302;27
67;45;905;226
67;57;302;-1
67;57;302;145
67;45;603;231
67;90;603;30
67;68;302;92
67;45;302;175
67;68;603;201
67;90;905;259
67;57;603;319
100;79;905;-1
100;79;905;-1
100;79;905;753
100;90;1207;262
100;102;603;29
100;45;603;88
100;102;1207;145
100;90;1207;488
100;57;1207;115
100;102;302;27
100;90;302;29
100;68;603;28
100;102;603;-1
100;102;603;230
100;90;1207;-1
100;90;1207;400
33;57;905;258
33;102;905;288
33;57;1207;319
33;102;603;117
33;68;603;113
33;45;302;57
33;34;905;173
33;79;905;314
33;68;1207;116
33;34;603;142
33;79;905;248
33;45;302;82
67;57;1207;-1
67;57;1207;512
67;102;1207;862
67;57;302;89
67;90;603;143
67;57;302;31
67;68;905;146
67;57;603;86
67;79;905;113
67;102;603;143
67;57;1207;464
67;90;1207;227
67;45;1207;-1
67;45;1207;719
100;34;905;-1
100;34;905;259
100;79;302;85
100;90;603;116
100;79;1207;85
100;68;1207;87
100;102;302;87
100;102;302;28
100;79;1207;-1
100;79;1207;259
100;45;302;59
100;57;905;-1
100;57;905;-1
100;57;905;287
100;34;905;-1
100;34;905;-1
100;34;905;200
100;34;302;116
50;68;1207;-1
50;68;1207;230
50;57;302;145
50;68;1207;405
50;57;1207;-1
50;57;1207;290
50;45;603;146
50;57;302;28
50;79;302;61
50;79;1207;464
50;57;603;113
50;90;603;284
50;90;905;173
50;34;905;1297
67;34;905;-1
67;34;905;-1
67;34;905;179
67;68;1207;-1
67;68;1207;290
67;79;1207;-1
67;79;1207;145
67;90;905;263
67;90;302;56
67;57;905;203
67;34;1207;231
67;102;302;87
67;102;302;86
67;57;1207;230
67;68;302;28
67;79;905;349
33;90;302;117
33;102;302;145
33;79;302;116
33;68;302;88
33;34;302;-1
33;34;302;260
33;79;1207;284
33;79;302;145
33;90;302;117
33;102;603;324
33;34;1207;470
33;90;905;349
33;90;1207;686
