compensation;width;length;MT
67;79;302;909
67;45;905;5507
67;79;905;4653
67;34;302;-1
67;34;302;2208
67;102;302;827
67;90;1207;2714
67;79;603;996
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;-1
67;57;1207;5834
67;68;905;2278
67;79;603;968
67;34;905;-1
67;34;905;5278
67;68;302;-1
67;68;302;-1
67;68;302;-1
67;68;302;1102
0;79;1207;-1
0;79;1207;-1
0;79;1207;-1
0;79;1207;10606
0;90;603;-1
0;90;603;2296
0;102;603;1631
0;57;302;859
0;45;905;6074
0;79;1207;3740
0;57;1207;6122
0;79;302;27
0;57;905;1593
0;68;603;755
0;45;1207;2003
0;34;905;1317
67;57;302;-1
67;57;302;1272
67;90;905;1692
67;79;1207;1572
67;45;905;-1
67;45;905;2657
67;102;1207;-1
67;102;1207;2244
67;102;302;-1
67;102;302;676
67;102;905;1368
67;102;603;-1
67;102;603;1739
67;45;603;-1
67;45;603;1433
67;102;1207;3086
67;68;603;-1
67;68;603;-1
67;68;603;-1
67;68;603;1597
67;45;603;2204
33;68;603;1327
33;45;1207;-1
33;45;1207;-1
33;45;1207;7443
33;79;1207;1559
33;90;905;565
33;68;603;768
33;34;603;1984
33;90;905;1243
33;34;603;-1
33;34;603;2313
33;90;1207;-1
33;90;1207;3784
33;45;1207;-1
33;45;1207;3650
33;45;1207;3161
33;79;1207;2378
100;34;603;4105
100;79;603;1502
100;102;1207;2130
100;68;905;2134
100;102;302;399
100;34;905;4562
100;102;603;369
100;79;1207;-1
100;79;1207;2923
100;90;603;399
100;34;603;2325
100;57;905;1543
100;79;1207;1854
67;102;1207;2663
67;45;302;-1
67;45;302;1627
67;68;603;1438
67;68;603;2035
67;90;603;916
67;57;1207;6245
67;57;1207;6716
67;57;302;293
67;102;603;342
67;45;603;1660
67;79;603;632
67;102;302;117
100;57;1207;3006
100;57;603;1293
100;34;603;1009
100;34;302;460
100;45;905;-1
100;45;905;-1
100;45;905;3541
100;45;302;290
100;57;302;84
100;90;302;117
100;68;905;1322
100;90;603;408
100;57;603;-1
100;57;603;1105
100;34;905;-1
100;34;905;-1
100;34;905;-1
100;34;905;5736
0;57;1207;7724
0;45;603;2594
0;79;302;116
0;79;905;1767
0;79;302;85
0;90;603;381
0;57;905;1887
0;34;302;643
0;68;302;218
0;79;603;-1
0;79;603;1487
0;79;1207;2253
0;45;302;848
