compensation;width;length;MT
100;68;1207;-1
100;68;1207;-1
100;68;1207;4308
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;-1
100;57;905;4992
100;57;1207;4104
100;102;905;-1
100;102;905;-1
100;102;905;2859
100;68;603;-1
100;68;603;1623
100;45;302;1237
100;68;302;897
100;45;302;-1
100;45;302;-1
100;45;302;1886
100;34;1207;8569
100;34;905;-1
100;34;905;4436
100;90;905;2132
100;45;603;1810
50;45;302;1302
50;34;603;-1
50;34;603;-1
50;34;603;-1
50;34;603;4173
50;102;302;621
50;90;1207;3319
50;68;302;-1
50;68;302;-1
50;68;302;-1
50;68;302;-1
50;68;302;-1
50;68;302;1851
50;90;905;-1
50;90;905;2232
50;90;302;676
50;79;603;1167
50;102;1207;-1
50;102;1207;-1
50;102;1207;-1
50;102;1207;4470
50;102;302;735
50;102;905;2313
50;90;905;2095
100;102;905;1720
100;34;1207;9360
100;90;905;2360
100;57;1207;-1
100;57;1207;-1
100;57;1207;5963
100;79;905;-1
100;79;905;-1
100;79;905;3390
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;10624
100;90;603;1412
100;102;1207;2320
100;45;905;-1
100;45;905;-1
100;45;905;3588
100;45;1207;-1
100;45;1207;-1
100;45;1207;4958
100;102;905;1687
100;102;302;-1
100;102;302;57
0;34;1207;8125
0;90;905;3182
0;68;1207;4852
0;45;1207;6337
0;79;603;-1
0;79;603;-1
0;79;603;2830
0;90;1207;-1
0;90;1207;5497
0;45;1207;5922
0;34;302;894
0;45;302;987
0;45;1207;-1
0;45;1207;3625
0;79;905;915
0;57;302;116
100;102;1207;2334
100;79;905;2069
100;57;302;-1
100;57;302;845
100;57;302;640
100;90;603;1190
100;79;302;581
100;57;1207;-1
100;57;1207;4634
100;90;1207;2476
100;45;905;2500
100;34;603;1975
100;68;302;251
100;90;1207;1761
50;79;905;1890
50;102;905;-1
50;102;905;1792
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;-1
50;68;603;2784
