compensation;width;length;MT
50;34;905;9497
50;68;905;-1
50;68;905;8671
50;79;1207;7350
50;79;905;2208
50;68;603;1744
50;68;905;-1
50;68;905;-1
50;68;905;-1
50;68;905;-1
50;68;905;2632
50;90;1207;-1
50;90;1207;3642
50;79;1207;-1
50;79;1207;2951
50;79;603;-1
50;79;603;-1
50;79;603;1677
50;90;302;-1
50;90;302;2020
50;102;603;2256
50;79;603;-1
50;79;603;2121
33;45;1207;3751
33;57;302;992
33;57;302;535
33;68;603;1025
33;79;603;854
33;34;302;739
33;79;603;741
33;45;1207;-1
33;45;1207;-1
33;45;1207;-1
33;45;1207;4493
33;102;905;1557
33;68;905;-1
33;68;905;-1
33;68;905;3086
33;45;302;881
33;34;302;-1
33;34;302;1368
0;90;302;737
0;34;603;-1
0;34;603;2383
0;57;1207;-1
0;57;1207;3386
0;34;302;1027
0;79;905;-1
0;79;905;1986
0;102;302;969
0;102;302;197
0;102;1207;-1
0;102;1207;4096
0;68;905;2459
0;45;603;1569
0;90;603;1240
0;90;905;-1
0;90;905;-1
0;90;905;1428
33;90;1207;1976
33;34;905;2907
33;102;302;288
33;79;302;286
33;90;905;1313
33;68;1207;952
33;79;302;197
33;102;302;142
33;68;905;800
33;102;905;-1
33;102;905;491
33;34;603;714
33;102;302;200
100;45;603;434
100;68;1207;1151
100;102;1207;-1
100;102;1207;835
100;45;302;517
100;79;1207;-1
100;79;1207;891
100;57;603;461
100;45;905;634
100;102;603;575
100;68;905;432
100;45;603;513
100;102;603;401
100;68;905;744
0;34;302;638
0;79;1207;1068
0;34;905;1069
0;34;302;205
0;45;1207;1338
0;57;302;148
0;45;302;84
0;102;603;434
0;45;603;781
0;90;1207;1130
0;34;1207;1950
0;68;1207;1154
100;79;905;-1
100;79;905;-1
100;79;905;-1
100;79;905;1651
100;68;905;1339
100;79;302;639
100;68;1207;-1
100;68;1207;1799
100;45;1207;3559
100;90;905;817
100;102;603;466
100;90;905;-1
100;90;905;-1
100;90;905;1137
100;34;905;-1
100;34;905;2253
100;45;302;-1
100;45;302;-1
100;45;302;522
100;45;603;-1
100;45;603;1722
100;79;1207;-1
100;79;1207;930
50;102;302;296
50;68;1207;823
50;34;905;1182
50;79;905;907
50;45;1207;-1
50;45;1207;992
50;68;302;145
50;102;603;324
50;102;905;818
50;90;302;29
50;102;905;676
50;34;603;1002
50;90;1207;1086
33;57;603;986
33;45;603;998
33;45;1207;1677
33;57;1207;1652
33;90;905;705
33;90;302;380
33;90;905;853
33;34;1207;-1
33;34;1207;2348
33;90;302;-1
33;90;302;739
33;68;1207;1798
33;102;603;797
33;102;905;947
100;79;1207;-1
100;79;1207;-1
100;79;1207;-1
100;79;1207;2697
100;45;905;2285
100;102;1207;-1
100;102;1207;1506
100;68;1207;-1
100;68;1207;-1
100;68;1207;-1
100;68;1207;1325
100;90;1207;1269
100;79;302;-1
100;79;302;442
100;57;603;382
100;68;302;31
100;45;302;148
100;79;603;148
100;102;905;59
100;57;302;89
33;79;1207;-1
33;79;1207;358
33;90;1207;389
33;79;1207;441
33;68;603;240
33;102;603;149
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;1817
33;57;302;149
33;57;905;958
33;34;905;2230
33;79;1207;990
33;68;302;596
33;102;1207;900
0;45;1207;1591
0;57;905;1015
0;79;905;1051
0;45;905;-1
0;45;905;1784
0;34;603;2121
0;102;603;301
0;90;603;328
0;79;905;633
0;79;302;240
0;68;1207;996
0;90;603;390
0;68;302;421
50;90;905;449
50;34;1207;3282
50;45;905;2351
50;102;603;882
50;45;1207;1629
50;68;905;1082
50;90;1207;741
50;34;905;-1
50;34;905;1494
