compensation;width;length;MT
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;-1
0;57;905;1423
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;-1
0;90;905;1353
0;90;905;767
0;45;603;-1
0;45;603;948
0;90;302;437
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;-1
0;45;1207;613
0;79;1207;-1
0;79;1207;-1
0;79;1207;-1
0;79;1207;549
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;204
0;57;302;-1
0;57;302;379
0;90;302;173
0;45;302;85
0;102;302;204
67;79;1207;-1
67;79;1207;811
67;34;302;-1
67;34;302;232
67;68;603;-1
67;68;603;291
67;57;603;438
67;57;302;117
67;102;302;146
67;57;302;118
67;57;603;351
67;68;603;229
67;57;1207;435
67;68;302;117
67;34;905;-1
67;34;905;346
50;102;1207;-1
50;102;1207;-1
50;102;1207;268
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;-1
50;45;905;353
50;68;1207;-1
50;68;1207;297
50;57;603;-1
50;57;603;-1
50;57;603;326
50;45;1207;-1
50;45;1207;-1
50;45;1207;506
50;68;302;148
50;79;1207;328
50;57;1207;669
50;90;1207;329
50;90;603;202
50;34;302;117
50;90;1207;268
33;57;905;990
33;57;905;809
33;90;603;434
33;79;1207;746
33;102;603;270
33;45;302;-1
33;45;302;-1
33;45;302;-1
33;45;302;61
33;90;1207;477
33;57;905;482
33;57;302;178
33;90;302;119
33;68;905;390
33;102;1207;392
50;45;905;-1
50;45;905;-1
50;45;905;183
50;90;603;-1
50;90;603;-1
50;90;603;152
50;57;302;186
50;34;302;-1
50;34;302;29
50;68;905;969
50;90;603;304
50;45;302;122
50;68;302;93
50;68;302;-1
50;68;302;184
50;102;302;93
50;79;1207;574
50;45;302;210
100;45;603;-1
100;45;603;431
100;34;905;155
100;102;905;-1
100;102;905;30
100;90;603;248
100;102;603;-1
100;102;603;182
100;57;603;91
100;90;1207;-1
100;90;1207;276
100;79;302;-1
100;79;302;32
100;68;1207;215
100;79;603;212
100;102;1207;335
100;79;1207;-1
100;79;1207;-1
100;79;1207;184
50;102;1207;667
50;34;603;551
50;90;302;110
50;79;603;159
50;90;302;66
50;68;1207;-1
50;68;1207;-1
50;68;1207;-1
50;68;1207;832
50;79;905;633
50;34;905;291
50;79;1207;393
50;102;603;282
50;34;603;66
50;45;302;32
0;34;603;-1
0;34;603;342
0;68;905;289
0;57;603;225
0;34;603;-1
0;34;603;802
0;90;905;-1
0;90;905;483
0;79;905;502
0;45;905;998
0;90;302;228
0;57;302;289
0;102;1207;-1
0;102;1207;794
0;102;1207;546
0;68;603;359
67;90;302;693
67;79;905;614
67;68;302;128
67;102;302;96
67;102;1207;354
67;45;1207;629
67;45;302;91
67;68;1207;518
67;90;1207;678
67;45;603;130
67;57;1207;-1
67;57;1207;268
67;79;1207;1596
50;79;302;-1
50;79;302;66
50;102;603;-1
50;102;603;547
50;79;905;355
50;57;905;-1
50;57;905;395
50;34;302;30
50;68;603;161
50;102;1207;518
50;68;603;453
50;90;1207;657
50;79;603;-1
50;79;603;196
50;102;302;91
50;79;905;389
67;57;603;-1
67;57;603;-1
67;57;603;611
67;57;1207;612
67;90;1207;331
67;79;302;129
67;79;905;387
67;68;1207;226
67;57;302;97
67;68;1207;570
67;90;603;258
67;68;302;450
67;90;603;130
67;34;302;60
50;45;905;-1
50;45;905;753
50;90;302;240
50;57;603;289
50;79;302;96
50;79;603;290
50;90;905;482
50;45;1207;333
50;102;302;122
50;102;603;160
50;57;1207;295
50;68;905;-1
50;68;905;89
50;34;1207;-1
50;34;1207;845
100;79;302;-1
100;79;302;120
100;79;905;567
100;79;905;259
100;45;603;-1
100;45;603;70
100;79;1207;387
100;79;603;218
100;45;302;66
100;79;1207;292
100;90;302;61
100;45;1207;336
100;79;302;96
100;57;905;255
67;90;302;58
67;90;905;393
67;102;302;97
67;79;905;259
67;79;302;59
67;45;1207;390
67;34;1207;-1
67;34;1207;580
67;90;1207;-1
67;90;1207;-1
67;90;1207;259
67;79;1207;310
67;102;603;181
67;90;603;62
67;45;905;-1
67;45;905;419
0;90;603;-1
0;90;603;93
0;79;1207;-1
0;79;1207;341
0;57;302;-1
0;57;302;-1
0;57;302;219
0;68;603;225
0;102;302;179
0;68;603;359
0;90;1207;606
0;90;1207;567
0;90;1207;505
0;45;603;389
0;102;603;452
0;102;302;94
100;68;603;-1
100;68;603;153
100;90;302;223
100;79;905;93
100;34;603;155
100;90;603;363
100;102;603;150
100;45;905;32
100;102;905;241
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;674
100;90;302;97
100;57;302;89
100;45;302;-1
100;45;302;130
67;90;905;-1
67;90;905;387
67;34;603;527
67;102;1207;457
67;68;603;-1
67;68;603;548
67;45;603;226
67;79;603;160
67;34;1207;736
67;79;302;63
67;90;302;133
67;90;905;384
67;79;603;485
67;45;1207;348
50;57;302;179
50;57;1207;-1
50;57;1207;477
50;79;302;59
50;34;1207;-1
50;34;1207;715
50;34;603;642
50;102;905;388
50;90;905;330
50;57;302;150
50;68;1207;492
50;45;1207;656
50;68;603;248
50;34;905;487
33;90;603;292
33;68;603;-1
33;68;603;540
33;34;603;-1
33;34;603;-1
33;34;603;446
33;102;1207;530
33;79;1207;209
33;102;302;149
33;79;905;323
33;79;905;326
33;79;1207;420
33;45;1207;513
33;34;603;130
33;90;1207;750
0;90;603;-1
0;90;603;-1
0;90;603;330
0;57;603;181
0;45;1207;520
0;45;603;166
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;360
0;34;302;228
0;34;302;33
0;57;1207;639
0;79;603;270
0;68;302;61
0;45;302;-1
0;45;302;32
0;79;1207;481
33;57;1207;-1
33;57;1207;-1
33;57;1207;-1
33;57;1207;271
33;45;1207;-1
33;45;1207;-1
33;45;1207;-1
33;45;1207;682
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;153
33;45;905;-1
33;45;905;-1
33;45;905;-1
33;45;905;179
33;57;603;163
33;90;905;193
33;34;905;152
33;102;603;163
33;79;302;212
33;79;603;621
33;57;302;244
33;90;603;184
50;45;603;29
50;45;603;91
50;34;1207;225
50;102;905;306
50;57;603;185
50;45;603;303
50;34;905;96
50;57;905;129
50;57;905;577
50;102;905;334
50;90;905;452
50;68;905;197
0;102;1207;457
0;68;1207;545
0;45;905;-1
0;45;905;376
0;102;603;303
0;68;905;332
0;34;603;-1
0;34;603;327
0;34;302;31
0;68;905;434
0;79;905;255
0;45;905;417
0;79;603;64
0;68;1207;390
67;45;302;182
67;102;1207;332
67;34;603;153
67;102;905;98
67;102;603;174
67;34;905;59
67;57;905;360
67;45;302;32
67;34;302;152
67;102;603;64
67;34;603;-1
67;34;603;-1
67;34;603;133
67;45;905;388
100;45;1207;-1
100;45;1207;-1
100;45;1207;-1
100;45;1207;130
100;68;1207;717
100;102;302;30
100;57;905;-1
100;57;905;400
100;68;1207;242
100;57;1207;185
100;102;603;62
100;90;603;104
100;102;302;119
100;68;603;150
100;34;1207;-1
100;34;1207;-1
100;34;1207;332
100;57;302;29
0;57;1207;-1
0;57;1207;-1
0;57;1207;-1
0;57;1207;-1
0;57;1207;499
0;57;1207;-1
0;57;1207;487
0;34;905;-1
0;34;905;276
0;57;905;473
0;68;1207;260
0;68;302;66
0;45;1207;698
0;57;603;241
0;57;905;161
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
