compensation;width;length;MT
67;57;603;3046
67;90;905;2917
67;68;302;891
67;90;1207;3028
67;68;1207;-1
67;68;1207;6374
67;57;302;-1
67;57;302;1617
67;57;1207;-1
67;57;1207;7644
67;79;603;-1
67;79;603;-1
67;79;603;2603
67;90;1207;4112
67;68;1207;-1
67;68;1207;4706
67;102;302;760
67;102;905;-1
67;102;905;2832
100;79;302;-1
100;79;302;1431
100;102;603;-1
100;102;603;-1
100;102;603;-1
100;102;603;-1
100;102;603;-1
100;102;603;-1
100;102;603;790
100;57;905;-1
100;57;905;1928
100;90;603;623
100;79;905;-1
100;79;905;-1
100;79;905;850
100;79;302;451
100;68;905;-1
100;68;905;241
100;90;1207;-1
100;90;1207;935
100;79;905;-1
100;79;905;710
100;34;302;366
100;45;302;370
100;45;1207;2709
67;34;1207;1866
67;34;302;-1
67;34;302;114
67;90;1207;1211
67;79;905;-1
67;79;905;-1
67;79;905;856
67;102;1207;-1
67;102;1207;-1
67;102;1207;1077
67;45;603;572
67;102;1207;420
67;34;1207;934
67;68;603;371
67;68;905;702
67;57;1207;1314
67;57;905;-1
67;57;905;-1
67;57;905;-1
67;57;905;596
0;102;905;-1
0;102;905;653
0;102;603;-1
0;102;603;540
0;34;1207;1960
0;79;302;172
0;90;905;-1
0;90;905;911
0;45;1207;1734
0;34;905;-1
0;34;905;1453
0;34;302;-1
0;34;302;-1
0;34;302;655
0;79;603;339
0;34;603;632
0;102;302;227
0;79;603;400
67;102;302;343
67;79;905;-1
67;79;905;565
67;79;1207;1053
67;34;1207;-1
67;34;1207;-1
67;34;1207;-1
67;34;1207;-1
67;34;1207;1034
67;57;603;400
67;57;603;807
67;90;603;-1
67;90;603;370
67;57;302;257
67;90;603;377
67;90;603;-1
67;90;603;403
67;79;905;-1
67;79;905;639
67;102;302;113
33;34;603;1092
33;57;302;116
33;102;603;456
33;45;603;-1
33;45;603;-1
33;45;603;317
33;45;905;1771
33;102;603;406
33;102;302;175
33;102;302;232
33;90;1207;698
33;102;302;174
33;79;905;783
33;34;603;434
50;57;905;378
50;68;302;176
50;34;1207;1400
50;68;905;790
50;102;603;350
50;68;603;317
50;57;905;1188
50;102;905;728
50;102;905;760
50;79;302;145
50;34;1207;-1
50;34;1207;-1
50;34;1207;-1
50;34;1207;2176
50;68;1207;1623
100;34;905;-1
100;34;905;1851
100;79;1207;996
100;45;905;832
100;90;302;-1
100;90;302;61
100;102;603;-1
100;102;603;440
100;79;905;966
100;68;603;-1
100;68;603;551
100;79;1207;1138
100;57;302;588
100;68;905;755
100;45;603;558
100;45;603;-1
100;45;603;-1
100;45;603;873
50;68;603;529
50;90;905;851
50;45;1207;1346
50;102;302;118
50;90;603;149
50;79;1207;1350
50;57;603;939
50;102;905;617
50;79;603;294
50;79;603;622
50;34;302;160
50;102;1207;650
67;57;302;230
67;45;603;450
67;45;302;242
67;45;302;89
67;102;1207;879
67;34;603;678
67;90;302;119
67;34;603;444
67;90;905;322
67;102;603;-1
67;102;603;1616
67;34;603;918
67;90;905;1002
0;57;603;407
0;34;603;889
0;45;302;356
0;34;603;776
0;45;302;381
0;45;302;385
0;45;905;851
0;90;603;447
0;34;302;-1
0;34;302;377
0;68;905;1229
0;90;302;427
0;102;603;654
67;68;1207;-1
67;68;1207;-1
67;68;1207;1005
67;45;905;1585
67;68;603;297
67;68;302;147
67;68;905;-1
67;68;905;893
67;68;603;661
67;90;302;180
67;45;302;353
67;45;905;878
67;68;905;1228
67;57;905;470
67;90;302;207
50;34;1207;-1
50;34;1207;-1
50;34;1207;3835
50;57;603;358
50;90;603;419
50;90;603;780
50;102;302;178
50;79;1207;-1
50;79;1207;-1
50;79;1207;-1
50;79;1207;1407
50;68;302;120
50;45;905;1474
50;45;603;597
50;57;603;330
50;45;302;62
50;102;1207;1529
33;45;603;626
33;79;1207;1290
33;79;905;427
33;90;302;209
33;90;905;867
33;90;1207;769
33;102;1207;838
33;102;1207;914
33;68;905;839
33;68;302;239
33;79;603;565
33;34;603;506
50;34;905;1629
50;45;1207;1421
50;34;905;924
50;68;1207;738
50;90;1207;-1
50;90;1207;400
50;45;302;332
50;79;905;718
50;57;905;1227
50;34;603;931
50;34;905;989
50;45;302;149
50;79;1207;1470
33;34;1207;2334
33;79;905;686
33;68;1207;1044
33;90;1207;1261
33;57;1207;1021
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;-1
33;34;905;456
33;57;302;270
33;45;603;571
33;68;302;149
