compensation;width;length;MT
100;34;302;33
100;90;1207;-1
100;90;1207;-1
100;90;1207;-1
100;90;1207;-1
100;90;1207;-1
100;90;1207;1351
100;79;905;-1
100;79;905;1826
100;90;603;986
100;79;905;1592
100;57;905;1844
100;57;302;-1
100;57;302;-1
100;57;302;-1
100;57;302;-1
100;57;302;-1
100;57;302;-1
100;57;302;424
100;45;1207;1198
100;90;1207;-1
100;90;1207;-1
100;90;1207;-1
100;90;1207;1267
100;102;1207;-1
100;102;1207;-1
100;102;1207;763
100;79;603;520
100;79;1207;-1
100;79;1207;-1
100;79;1207;-1
100;79;1207;1007
50;45;302;-1
50;45;302;-1
50;45;302;-1
50;45;302;29
50;90;1207;741
50;68;1207;-1
50;68;1207;1163
50;68;302;90
50;45;905;-1
50;45;905;-1
50;45;905;267
50;45;302;231
50;79;1207;-1
50;79;1207;-1
50;79;1207;563
50;34;302;177
50;79;302;266
50;68;603;-1
50;68;603;147
50;45;603;148
50;90;603;620
67;102;1207;754
67;79;905;-1
67;79;905;579
67;90;905;608
67;79;302;206
67;68;905;694
67;68;905;551
67;57;302;85
67;57;905;496
67;90;905;605
67;68;603;296
67;57;1207;869
67;79;905;-1
67;79;905;668
50;57;905;-1
50;57;905;769
50;102;603;369
50;34;302;-1
50;34;302;-1
50;34;302;573
50;90;603;484
50;79;1207;881
50;79;603;601
50;102;302;397
50;45;603;486
50;57;603;651
50;68;603;594
50;57;302;452
50;68;1207;851
100;90;1207;604
100;79;603;403
100;34;1207;-1
100;34;1207;-1
100;34;1207;-1
100;34;1207;1018
100;102;603;-1
100;102;603;87
100;79;905;349
100;57;905;-1
100;57;905;456
100;57;603;-1
100;57;603;520
100;57;905;-1
100;57;905;781
100;79;1207;-1
100;79;1207;-1
100;79;1207;692
100;90;603;200
100;68;905;173
100;34;603;-1
100;34;603;-1
100;34;603;261
33;57;302;146
33;79;1207;896
33;34;905;924
33;45;302;201
33;57;905;751
33;90;603;378
33;34;603;702
33;79;1207;1046
33;79;302;118
33;79;1207;715
33;102;1207;495
33;34;905;-1
33;34;905;-1
33;34;905;1403
0;34;1207;-1
0;34;1207;704
0;102;1207;561
0;45;603;500
0;45;1207;863
0;45;1207;927
0;68;302;148
0;68;905;868
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;-1
0;34;1207;810
0;102;905;-1
0;102;905;88
0;90;905;560
0;34;905;536
0;34;603;472
50;79;302;-1
50;79;302;-1
50;79;302;31
50;45;302;638
50;102;905;777
50;68;302;151
50;34;603;-1
50;34;603;241
50;102;1207;558
50;34;905;-1
50;34;905;180
50;45;1207;-1
50;45;1207;-1
50;45;1207;974
50;102;302;85
50;45;603;760
50;102;1207;418
50;34;905;960
0;79;302;-1
0;79;302;113
0;90;905;785
0;68;302;63
0;57;302;447
0;45;603;454
0;79;603;512
0;34;603;634
0;79;603;362
0;79;905;452
0;90;905;751
0;34;603;-1
0;34;603;1489
0;45;905;817
50;34;302;90
50;90;302;298
50;90;603;388
50;102;905;907
50;57;1207;-1
50;57;1207;261
50;79;302;303
50;34;1207;482
50;57;603;275
50;102;603;91
50;68;905;510
50;79;603;476
50;102;302;304
67;79;302;83
67;68;905;501
67;45;905;563
67;102;905;495
67;90;905;534
67;79;1207;803
67;45;302;226
67;102;1207;510
67;102;603;491
67;45;1207;-1
67;45;1207;-1
67;45;1207;-1
67;45;1207;708
67;102;603;152
67;57;603;242
50;68;603;58
50;57;603;-1
50;57;603;211
50;34;603;-1
50;34;603;62
50;90;1207;-1
50;90;1207;458
50;68;1207;566
50;90;1207;778
50;34;603;300
50;79;1207;487
50;79;603;328
50;34;905;-1
50;34;905;-1
50;34;905;-1
50;34;905;567
50;34;1207;-1
50;34;1207;789
50;90;302;181
100;90;302;340
100;90;302;166
100;45;1207;-1
100;45;1207;231
100;79;302;209
100;45;905;32
100;90;905;455
100;79;1207;-1
100;79;1207;537
100;45;603;-1
100;45;603;140
100;68;905;-1
100;68;905;338
100;102;603;212
100;102;603;211
100;79;302;61
67;79;1207;481
67;57;302;284
67;45;603;241
67;34;905;484
67;34;905;570
67;68;1207;450
67;102;1207;568
67;57;1207;478
67;57;302;273
67;79;603;238
67;79;302;91
67;45;905;935
100;45;302;-1
100;45;302;141
100;34;302;209
100;90;603;-1
100;90;603;159
100;90;905;352
100;68;603;421
100;34;905;543
100;57;1207;302
100;45;905;271
100;68;302;120
100;68;302;62
100;45;905;541
100;68;905;511
33;45;302;84
33;79;905;-1
33;79;905;-1
33;79;905;281
33;57;603;423
33;102;302;29
33;79;905;-1
33;79;905;310
33;68;603;299
33;102;1207;510
33;79;905;356
33;45;905;-1
33;45;905;-1
33;45;905;514
33;79;603;392
33;102;603;200
33;57;603;269
67;79;603;394
67;34;1207;-1
67;34;1207;-1
67;34;1207;731
67;34;302;155
67;79;603;194
67;34;905;59
67;79;905;-1
67;79;905;153
67;45;905;636
67;57;1207;365
67;34;603;479
67;79;1207;-1
67;79;1207;421
67;45;302;398
67;45;603;-1
67;45;603;365
100;34;603;-1
100;34;603;417
100;45;302;301
100;68;603;-1
100;68;603;545
100;68;1207;1094
100;102;905;483
100;45;1207;1048
100;34;905;930
100;102;302;93
100;90;302;489
100;90;905;695
100;45;302;-1
100;45;302;390
100;34;1207;-1
100;34;1207;755
