;ID;Latency;Enjoyed;Caused the Movements;Lateness;Over-Anticipation;Wrong Distance;Wrong Orientation;Jitter;Jumps;Spring Effect;Stick
0;1;16.67;3.5714285714285716;3.5714285714285716;2.4285714285714284;2.4285714285714284;2.5714285714285716;2.7142857142857144;3.142857142857143;3.142857142857143;3.142857142857143;2.7142857142857144
1;1;-50.0;4.25;3.875;1.25;1.25;1.375;1.375;2.375;2.5;2.125;1.25
2;1;-16.67;4.285714285714286;3.7142857142857144;1.7142857142857142;1.7142857142857142;1.8571428571428572;1.7142857142857142;2.5714285714285716;2.5714285714285716;2.2857142857142856;2.142857142857143
3;1;50.0;3.3333333333333335;3.3333333333333335;2.6666666666666665;2.0;2.5;2.0;3.0;3.0;3.0;1.8333333333333333
4;1;0.0;4.142857142857143;3.5714285714285716;2.0;2.142857142857143;1.8571428571428572;1.8571428571428572;2.5714285714285716;2.7142857142857144;2.5714285714285716;1.8571428571428572
5;2;16.67;3.5714285714285716;3.4285714285714284;2.0;2.4285714285714284;2.5714285714285716;2.142857142857143;3.2857142857142856;3.2857142857142856;3.2857142857142856;1.8571428571428572
6;2;-50.0;3.5714285714285716;3.142857142857143;2.0;3.4285714285714284;2.857142857142857;2.0;3.2857142857142856;3.7142857142857144;3.4285714285714284;2.0
7;2;-16.67;3.4285714285714284;3.4285714285714284;2.142857142857143;2.5714285714285716;2.2857142857142856;2.2857142857142856;3.142857142857143;3.142857142857143;3.0;1.5714285714285714
8;2;50.0;3.4285714285714284;3.2857142857142856;1.8571428571428572;2.2857142857142856;2.2857142857142856;2.142857142857143;2.857142857142857;3.142857142857143;2.7142857142857144;1.8571428571428572
9;2;0.0;3.7142857142857144;3.5714285714285716;1.5714285714285714;2.2857142857142856;1.8571428571428572;2.0;2.857142857142857;2.5714285714285716;3.142857142857143;1.5714285714285714
10;3;16.67;3.8333333333333335;3.0;3.1666666666666665;2.6666666666666665;3.5;3.8333333333333335;4.0;3.3333333333333335;3.8333333333333335;4.0
11;3;-50.0;4.0;4.0;3.2;3.8;3.6;3.6;3.2;2.8;3.2;2.8
12;3;-16.67;3.75;3.5;2.875;3.0;3.375;3.25;3.875;3.25;3.25;3.25
13;3;50.0;3.888888888888889;3.4444444444444446;3.3333333333333335;3.7777777777777777;3.3333333333333335;3.4444444444444446;3.888888888888889;3.4444444444444446;3.888888888888889;3.5555555555555554
14;3;0.0;4.25;4.125;2.75;2.75;2.625;3.0;3.5;2.25;3.125;3.25
15;4;16.67;2.5714285714285716;4.142857142857143;2.5714285714285716;2.857142857142857;3.7142857142857144;1.4285714285714286;2.5714285714285716;3.2857142857142856;3.5714285714285716;1.1428571428571428
16;4;-50.0;2.7142857142857144;3.4285714285714284;3.4285714285714284;3.7142857142857144;3.7142857142857144;2.142857142857143;4.285714285714286;3.7142857142857144;3.7142857142857144;1.2857142857142858
17;4;-16.67;2.857142857142857;4.0;2.7142857142857144;3.5714285714285716;3.4285714285714284;1.7142857142857142;3.7142857142857144;3.5714285714285716;3.5714285714285716;1.0
18;4;50.0;3.2857142857142856;3.7142857142857144;3.0;3.0;3.2857142857142856;2.2857142857142856;3.142857142857143;2.2857142857142856;3.4285714285714284;1.4285714285714286
19;4;0.0;3.0;4.285714285714286;2.142857142857143;2.7142857142857144;2.5714285714285716;1.5714285714285714;1.8571428571428572;2.142857142857143;2.5714285714285716;1.1428571428571428
20;5;16.67;2.857142857142857;3.142857142857143;3.5714285714285716;2.4285714285714284;2.7142857142857144;1.7142857142857142;2.0;3.5714285714285716;2.7142857142857144;1.1428571428571428
21;5;-50.0;3.0;3.0;1.8571428571428572;3.7142857142857144;3.0;1.2857142857142858;2.142857142857143;3.857142857142857;2.4285714285714284;1.4285714285714286
22;5;-16.67;3.5714285714285716;2.7142857142857144;2.4285714285714284;3.7142857142857144;2.857142857142857;1.7142857142857142;2.4285714285714284;3.857142857142857;3.142857142857143;1.5714285714285714
