;Participant;Latency;Difficulty;MT in ms;SD
4125;30;0;8.867647059;409.3333333;338.9282127
4126;30;0;8.87254902;492;217.6487997
4127;30;0;8.882352941;282.6666667;154.480851
4128;30;0;10.05555556;367.3333333;353.0443787
4129;30;0;10.57894737;213.6666667;81.86777958
4130;30;0;11.4556962;242.3333333;105.3676105
4131;30;0;11.83333333;955;510.8581016
4132;30;0;13.30882353;711;466.177005
4133;30;0;13.4;675;556.2184823
4134;30;0;13.41111111;737;126.5029644
4135;30;0;15.27848101;375.6666667;38.81151032
4136;30;0;15.87719298;553.3333333;336.0019841
4137;30;0;17.73529412;590.6666667;460.0764429
4138;30;0;17.75;2483.333333;2164.692665
4139;30;0;20.11111111;593.6666667;227.0998312
4140;30;0;21.1754386;1203.666667;498.5191404
4141;30;0;26.61764706;2424.666667;3322.269455
4142;30;0;26.82222222;298.6666667;115.6474528
4143;30;0;35.5;1431.666667;1611.245584
4144;30;16.67;2.960784314;68.66666667;18.47520861
4145;30;16.67;3.355555556;96.33333333;33.20140559
4146;30;16.67;3.82278481;124;59.50630219
4147;30;16.67;4.441176471;72.66666667;36.9639464
4148;30;16.67;5.298245614;95;56.47123161
4149;30;16.67;5.911764706;131.6666667;66.38021794
4150;30;16.67;6.7;263.6666667;52.29085325
4151;30;16.67;6.711111111;118.6666667;87.12251909
4152;30;16.67;7.632911392;231.3333333;64.65549732
4153;30;16.67;8.867647059;259;24.43358345
4154;30;16.67;8.87254902;294.6666667;127.6414248
4155;30;16.67;8.882352941;110.3333333;15.011107
4156;30;16.67;10.05555556;431.3333333;160.50649
4157;30;16.67;10.57894737;213.6666667;122.0013661
4158;30;16.67;11.4556962;245;139.1150603
4159;30;16.67;11.83333333;494.3333333;232.951354
4160;30;16.67;13.30882353;791.3333333;917.0955966
4161;30;16.67;13.4;256;64.13267498
4162;30;16.67;13.41111111;411;95.28378666
4163;30;16.67;15.27848101;369;30.5122926
4164;30;16.67;15.87719298;330.3333333;70.93894088
4165;30;16.67;17.73529412;148.3333333;34.12232896
4166;30;16.67;17.75;335;139.0970884
4167;30;16.67;20.11111111;577.3333333;408.2025641
4168;30;16.67;21.1754386;655;328.5528877
4169;30;16.67;26.61764706;1187;1099.377551
4170;30;16.67;26.82222222;499;147.2854372
4171;30;16.67;35.5;532;63.90618123
4172;30;50;2.960784314;144;34.6554469
4173;30;50;3.355555556;90;31.19294792
4174;30;50;3.82278481;173;16.82260384
4175;30;50;4.441176471;334.6666667;316.179274
4176;30;50;5.298245614;150.3333333;130.1242995
4177;30;50;5.911764706;229;15.5241747
4178;30;50;6.7;546;468.6149806
4179;30;50;6.711111111;153.3333333;1.527525232
4180;30;50;7.632911392;225.6666667;92.24062735
4181;30;50;8.867647059;627;404.7974802
4182;30;50;8.87254902;509.3333333;218.5001907
4183;30;50;8.882352941;151.6666667;31.00537588
4184;30;50;10.05555556;984.3333333;1042.480855
4185;30;50;10.57894737;336;138.7912101
4186;30;50;11.4556962;1993;1577.891948
4187;30;50;11.83333333;2724;4132.771951
4188;30;50;13.30882353;307.3333333;133.5265267
4189;30;50;13.4;313.6666667;134.0609314
4190;30;50;13.41111111;715;299.8466275
4191;30;50;15.27848101;616;194.5559046
4192;30;50;15.87719298;645.6666667;325.6137794
4193;30;50;17.73529412;460;192.1587885
4194;30;50;17.75;563.6666667;283.746953
4195;30;50;20.11111111;2763.333333;4044.150385
4196;30;50;21.1754386;1608.333333;1281.009888
4197;30;50;26.61764706;697.6666667;488.6934963
4198;30;50;26.82222222;1190.666667;619.5815792
4199;30;50;35.5;793.6666667;307.7293183
4200;31;-50;2.960784314;86.8;63.05315218
4201;31;-50;3.355555556;109;68.60029154
4202;31;-50;3.82278481;82.66666667;45.48992562
4203;31;-50;4.441176471;43.33333333;11.01514109
4204;31;-50;5.298245614;45;38.57460304
4205;31;-50;5.911764706;99.8;62.97777386
4206;31;-50;6.7;192.8;116.9858966
4207;31;-50;6.711111111;88;33.74413529
4208;31;-50;7.632911392;215;4.242640687
4209;31;-50;8.867647059;141.5;28.96549672
4210;31;-50;8.87254902;180.6666667;131.3405243
4211;31;-50;8.882352941;67;
4212;31;-50;10.05555556;170;17.57839583
4213;31;-50;10.57894737;153;154.3783232
4214;31;-50;11.4556962;297.4;170.9350754
4215;31;-50;11.83333333;301;48.08326112
4216;31;-50;13.30882353;195.3333333;64.48514041
4217;31;-50;13.4;217;189.5969409
4218;31;-50;13.41111111;294;25.45584412
4219;31;-50;15.27848101;374.8;155.079657
4220;31;-50;15.87719298;316;63.15589178
4221;31;-50;17.73529412;189;34
4222;31;-50;17.75;376.75;232.3824075
4223;31;-50;20.11111111;157;128.6429166
4224;31;-50;21.1754386;171.5;19.09188309
4225;31;-50;26.61764706;155;
4226;31;-50;26.82222222;354;177.4001127
4227;31;-50;35.5;305.3333333;34.03429643
4228;31;-16.67;2.960784314;113;28.58321186
4229;31;-16.67;3.355555556;294.6666667;346.9990394
4230;31;-16.67;3.82278481;83.66666667;39.31072797
4231;31;-16.67;4.441176471;231.6666667;189.1621879
4232;31;-16.67;5.298245614;110.6666667;11.8462371
4233;31;-16.67;5.911764706;139.6666667;65.62265869
4234;31;-16.67;6.7;150;99.51884244
4235;31;-16.67;6.711111111;101.6666667;75.56674754
4236;31;-16.67;7.632911392;322.5;229.8097039
4237;31;-16.67;8.867647059;356;169.1419522
4238;31;-16.67;8.87254902;98;
4239;31;-16.67;8.882352941;148;86.06973917
4240;31;-16.67;10.05555556;388;4.582575695
4241;31;-16.67;10.57894737;466.6666667;132.3492854
4242;31;-16.67;11.4556962;420;179.7859839
4243;31;-16.67;11.83333333;381;66.73080248
4244;31;-16.67;13.30882353;;
4245;31;-16.67;13.4;178;67.88225099
4246;31;-16.67;13.41111111;422.6666667;224.0364554
4247;31;-16.67;15.27848101;905.6666667;648.2054715
4248;31;-16.67;15.87719298;360;
4249;31;-16.67;17.73529412;271;221.9279162
4250;31;-16.67;17.75;438;185.4292318
4251;31;-16.67;20.11111111;403.5;21.92031022
4252;31;-16.67;21.1754386;438.3333333;172.0242231
4253;31;-16.67;26.61764706;202.5;202.9396462
4254;31;-16.67;26.82222222;455.6666667;151.5728648
4255;31;-16.67;35.5;658;110.3086579
4256;31;0;2.960784314;102;17.34935157
4257;31;0;3.355555556;138.6666667;90.47283202
4258;31;0;3.82278481;73.66666667;19.65536398
4259;31;0;4.441176471;141.6666667;45.82939377
4260;31;0;5.298245614;171.6666667;19.08751774
4261;31;0;5.911764706;329.6666667;197.8543235
4262;31;0;6.7;219.3333333;77.46827308
4263;31;0;6.711111111;121.3333333;89.00187264
4264;31;0;7.632911392;215;67.53517602
4265;31;0;8.867647059;287.3333333;149.9210904
4266;31;0;8.87254902;342.6666667;41.68133075
4267;31;0;8.882352941;58.66666667;50.52062285
4268;31;0;10.05555556;421.3333333;80.5067285
4269;31;0;10.57894737;266.6666667;73.10494739
4270;31;0;11.4556962;459;151.6443207
4271;31;0;11.83333333;484.3333333;201.6192782
4272;31;0;13.30882353;418.3333333;479.938885
4273;31;0;13.4;141;143.6802004
4274;31;0;13.41111111;418;209.2152002
4275;31;0;15.27848101;431.6666667;127.4767953
4276;31;0;15.87719298;367;225.3086772
4277;31;0;17.73529412;419.6666667;309.6454962
4278;31;0;17.75;540.3333333;270.7551169
4279;31;0;20.11111111;429.6666667;292.6317367
4280;31;0;21.1754386;480.3333333;187.0222803
